source_id,ra,dec,l,b,phot_g_mean_mag,bp_rp,parallax,parallax_error,priam_flags,flame_flags,a_g_val,e_bp_min_rp_val,teff_val,radius_val,radius_percentile_lower,radius_percentile_upper,original_ext_source_id,j_m,h_m,ks_m
659753877709196032,129.71866540236508,19.152298461367653,206.3407199553754,31.967573562670644,17.266697,0.97073936,0.2846897728496858,0.1457987713169626,,,,,,,,,"08385250+1909081",16.062,15.757,15.376
659755428193470720,129.45205056195275,19.086731712249748,206.30831756805222,31.708732471297925,15.149787,0.86429787,0.7582597694689049,0.04990468114481321,100001,200111,0.1528,0.09,5763.755,1.0655563,0.99967444,1.189598,"08374848+1905122",14.059,13.722,13.715
659752095298846976,129.51547370589807,19.057454076964753,206.36542970506687,31.75445612496049,15.284474,0.60222054,0.24384707365014738,0.052242632274472095,100001,,,,6879.0,,,,"08380371+1903269",14.509,14.319,14.282
659755080300052224,129.61643138281923,19.17765789026311,206.2726792037591,31.886126307307677,18.228384,1.9093266,1.3172908482571235,0.2445820347896395,,,,,,,,,"08382792+1910397",15.983,15.412,15.132
659753843349457280,129.70154500297642,19.151100498315746,206.3353264299636,31.95201540155162,16.238115,1.1628475,,,130001,,,,4897.705,,,,"08384838+1909040",14.722,14.153,14.089
659749483958733824,129.4564156195316,19.075458140874762,206.32242773404855,31.708606918873613,15.450236,0.9713392,0.8846640933115067,0.055811117300533744,100001,200111,0.1523,0.0725,5353.5,0.9396686,0.8272086,0.9873062,"08374954+1904316",14.219,13.888,13.777
659752095298847616,129.5146597625585,19.053389756389123,206.36958084076477,31.752299481774976,17.293926,1.3409367,0.719221207286887,0.1668145532804569,,,,,,,,,"08380351+1903123",15.7,15.046,14.889
659754564903969664,129.5805320521132,19.16202485466556,206.27583975274922,31.8488840428261,19.05062,2.4105492,2.0686254717412513,0.44367465418939733,,,,,,,,,"08381931+1909437",16.232,15.513,15.511
659746425942021120,129.4654943331671,19.05028340003195,206.35367426956537,31.7077316702667,16.575518,0.9376488,0.6145835701916995,0.08995117691482839,100001,,0.0205,0.012,5164.9,,,,"08375171+1903009",15.368,15.037,15.153
659746116704377600,129.4656893398537,19.02815775096951,206.37807519444263,31.700075757064795,14.392113,0.84140396,1.0517651971521218,0.03829731854692096,100001,200111,0.2407,0.1142,5767.0,1.08762,1.0566152,1.1646053,"08375177+1901413",13.358,13.008,12.963
659752335817016960,129.48727825636576,19.066530286823244,206.34436766431241,31.73273634703996,14.720219,0.7560234,0.7534987614034082,0.04362539651413494,100001,200111,0.1635,0.0785,5930.0,1.229132,1.0412749,1.7272797,"08375695+1903595",13.77,13.397,13.377
659757867733214720,129.53663058626307,19.199351040459806,206.2175264116631,31.823227585642847,18.25802,1.8848362,0.9515493737523739,0.24215032489677873,,,,,,,,,"08380879+1911578",15.958,15.374,14.988
