source_id,ra,dec,l,b,phot_g_mean_mag,bp_rp,parallax,parallax_error,priam_flags,flame_flags,a_g_val,e_bp_min_rp_val,teff_val,radius_val,radius_percentile_lower,radius_percentile_upper,original_ext_source_id,j_m,h_m,ks_m
3313694369832958208,66.84757133918733,16.82990203187525,179.3378702962211,-21.643935444490676,16.34853,1.1530647,0.0956639528747514,0.07325306892091783,100001,,,,4969.5,,,,"04272341+1649473",14.891,14.418,14.352
3313700004830036608,67.19258521301666,16.723364758785305,179.6508606471068,-21.454935331488688,16.95375,1.2697868,0.10936948480511376,0.19199749815211434,100001,,,,4812.49,,,,"04284622+1643240",15.327,14.794,14.761
3313693373400545408,66.9193991319346,16.781879415666147,179.42466142385203,-21.6210196293701,14.580396,1.1402731,0.9000960459706933,0.036053334734104624,100001,200111,1.289,0.6657,4939.37,1.6801827,1.5476695,1.7631758,"04274065+1646546",13.161,12.79,12.682
3313717081620009344,66.99629685791864,16.83408371399648,179.43114451597424,-21.53097655241585,17.480232,1.3367367,0.5897743515547211,0.12634733500907708,,,,,,,,,"04275910+1650027",15.736,15.12,14.985
3313710961290452480,67.44891471888992,16.94114333808071,179.6348699315499,-21.127214703373802,17.61214,1.1009407,0.3383436790507141,0.15583969597217376,,,,,,,,,"04294772+1656279",16.288,15.67,15.306
3313704368516810112,67.08997828430957,16.787602176208107,179.53073135962427,-21.490745187667358,19.152393,2.5036793,1.9104550089990724,0.39040182573315985,,,,,,,,,"04282159+1647152",14.861,15.527,14.169
3313680247980486272,67.04329326845391,16.713611432698933,179.5621520056863,-21.57210125531533,16.816929,1.1869144,0.5497181691860499,0.09219909935582293,100001,,0.653,0.3185,4861.223,,,,"04281039+1642489",15.253,14.878,14.619
3313703505227366528,67.21553223385433,16.840999913290432,179.5675778221906,-21.36378233714027,18.540346,2.6615334,1.6595462913382293,0.3094247497878425,,,,,,,,,"04285171+1650276",15.579,14.854,14.633
3313666912106173312,66.9332323042654,16.457540702549252,179.70447566777815,-21.81543305699222,13.941769,1.6560984,0.29797393572325814,0.04157250324926434,100002,,0.936,0.4532,4263.11,,,,"04274397+1627271",11.842,11.186,11.014
3313710548973591040,67.42328508292972,16.9263837420966,179.63064559958823,-21.155560310170877,17.077845,1.3457451,0.5857391472650273,0.11048828093209712,,,,,,,,,"04294158+1655350",15.317,14.939,14.868
3313694606055130496,66.89472015465796,16.844843863651395,179.35611952028788,-21.59952890608584,18.664152,2.3573475,1.5246715201422116,0.2695832313624233,,,,,,,,,"04273471+1650415",15.783,15.292,15.003
3313723025854737792,66.89710094474397,16.978553403627462,179.2463197697486,-21.513186901815295,14.230499,1.3257322,1.4006477157578987,0.03583728080683124,100001,200111,1.3307,0.623,5109.0,1.1648313,1.058423,1.2858472,"04273530+1658426",12.583,12.166,12.022
3313733844876163328,67.10168344419311,17.195514990020296,179.19869299506956,-21.224490254164753,18.562906,2.8207302,1.792633834054692,0.26746390441236667,,,,,,,,,"04282438+1711438",15.566,14.747,14.435
3313705742906342784,67.02921460242072,16.847861217380892,179.44104414385322,-21.497846128193178,14.701145,1.3610849,0.9935709096329408,0.04102878921358633,100001,200111,,,4846.846,1.5125805,1.419173,1.6642232,"04280700+1650523",13.007,12.548,12.41
3313703543881772672,67.1935932653321,16.840927745664295,179.55343119956032,-21.380133922465088,19.430464,3.0536213,2.6061230749862463,0.4143304677473727,,,,,,,,,"04284645+1650274",16.203,15.582,15.216
3313724709480610688,66.92293900080246,17.01618188332232,179.23181084163377,-21.47024271081886,19.613613,3.0737,4.057880182221713,0.5859619327077772,,,,,,,,,"04274156+1700592",16.225,15.49,15.099
3313700348427417856,67.20204522672832,16.736340569209798,179.64615868706596,-21.43972693445539,17.551939,1.198349,0.43000631642298887,0.14278946019140815,,,,,,,,,"04284850+1644107",15.997,15.621,15.282
