source_id,ra,dec,l,b,phot_g_mean_mag,bp_rp,parallax,parallax_error,priam_flags,flame_flags,a_g_val,e_bp_min_rp_val,teff_val,radius_val,radius_percentile_lower,radius_percentile_upper,original_ext_source_id,j_m,h_m,ks_m
3219663929267286784,88.09956083388565,0.8886778479225552,205.2766093851571,-12.688020734354673,17.698263,2.0594025,0.4431813519480617,0.19638631893476693,,,,,,,,,"05522388+0053193",14.945,14.295,13.995
3219660080976645632,87.87527848954205,0.8529894291829044,205.2005530959975,-12.902645487814018,15.963997,1.8321705,0.7079678064374822,0.0566023042206791,100001,200111,,,3944.5,2.201816,2.0139904,2.2537937,"05513005+0051108",13.648,13.135,12.967
3219663478294101248,88.19266678065148,0.9004217522859777,205.31091704219654,-12.600362843910894,17.826635,1.6899719,0.36796100329969755,0.18472826719664637,,,,,,,,,"05524623+0054014",15.528,15.334,14.867
3219652483177774848,87.93117033219494,0.6786402968396358,205.38535533383057,-12.935450790481159,17.850489,1.6619167,0.6650077366341516,0.20920665321908066,,,,,,,,,"05514347+0040431",15.74,15.122,15.083
3219678596579239936,87.96185366089148,0.9621468514489578,205.14366109631746,-12.774849405339427,18.65659,2.431343,2.453010168700138,0.26606397926561987,,,,,,,,,"05515081+0057440",15.591,15.128,14.68
3219660115336384384,87.8633643353569,0.8610153639615284,205.18753110271268,-12.909369918137285,17.496275,1.6155548,0.4668693448589169,0.1362145184864708,,,,,,,,,"05512719+0051396",15.43,14.878,14.543
3219652105220646912,87.95130168186134,0.6528286911604878,205.41844226946938,-12.929834318974986,18.48463,2.398035,0.46542534768714033,0.35988165874635125,,,,,,,,,"05514830+0039103",15.446,14.646,14.349
3219663272135670784,88.21266321644855,0.9002503484871375,205.32071690104812,-12.58280394493722,15.787296,2.0767374,0.8283277656753766,0.05447465563243504,100001,200111,,,3772.0,2.36678,1.9010696,2.516598,"05525103+0054010",13.167,12.487,12.274
3219663478294101120,88.1938860455776,0.8992582409013721,205.312556996592,-12.599835082527669,17.893103,1.7851048,0.42896663675249247,0.16843246552628344,,,,,,,,,"05524652+0053574",15.589,14.989,14.851
3219653582689567744,87.88687187588226,0.7205531444753932,205.32601775627953,-12.954802649976493,18.017626,1.2216625,0.28102590187728715,0.2491958291530016,,,,,,,,,"05513282+0043138",16.247,15.994,15.745
3219663443934363392,88.17542619931271,0.9017681416938734,205.30138302450138,-12.614937138528155,16.073172,2.212739,0.08705875499862119,0.08389649549800118,100001,,1.5912,0.77,3546.0,,,,"05524209+0054063",13.272,12.431,12.185
3219663787531746944,88.14482978866906,0.9014717719141192,205.2868886199309,-12.642065546202028,17.963335,1.9770603,1.0078438592047225,0.18263435773497355,,,,,,,,,"05523474+0054053",15.254,14.586,14.383
3219665196281204864,87.9589754283343,0.8756042321089239,205.22054250073717,-12.81817518667127,18.836655,1.6909084,0.5445946079559614,0.3209526827954701,,,,,,,,,"05515015+0052323",16.314,15.674,15.497
3219659874818212096,87.89132333867752,0.8510882825544794,205.2100290644178,-12.889391306945779,18.043905,2.189293,0.5671987030447813,0.17729464671023432,,,,,,,,,"05513389+0051039",15.255,14.374,14.064
3219655408052225408,87.986204159547,0.7607557523295397,205.33760279724424,-12.848247589854925,16.316317,1.2644892,0.2559037716404882,0.08217366811516538,100001,,,,4833.0454,,,,"05515667+0045388",14.659,14.351,14.065
3219652483177774208,87.93575047291847,0.6774732131482668,205.38862329450677,-12.93195904558903,19.227646,1.6552982,-0.3726799086508257,0.5373630564212662,,,,,,,,,"05514457+0040391",16.718,15.817,15.509
3219653995010667264,87.96004530122173,0.6944899004434354,205.38494806683966,-12.902516059921538,19.775923,2.1120968,4.239068387603587,0.8852431263845163,,,,,,,,,"05515041+0041405",16.585,15.621,15.613
3219667296521646080,88.042409395839,0.9460629002511478,205.19712643607224,-12.711393414946182,18.230047,1.6086102,0.044281813225003915,0.23311285136766988,,,,,,,,,"05521016+0056456",16.027,15.673,15.186
3219663375214885760,88.18778568883964,0.8985824645614643,205.3102252762501,-12.605534536805363,15.413561,1.8008776,1.0951437924760656,0.08012025896463405,100001,200111,2.4585,1.234,3901.0,1.9029188,1.7720343,1.9176577,"05524506+0053549",13.074,12.526,12.294
3219663409574623744,88.16128426458518,0.897501292877315,205.2984177077612,-12.629420846408541,15.942805,2.2449245,2.6110682930988083,0.06296431251512107,100001,200111,,,3526.3333,0.8737594,0.5799168,0.885944,"05523870+0053510",13.387,12.702,12.449
3219665368081046784,88.01953656246287,0.8811365818243959,205.2447925852992,-12.762155990837107,19.357826,2.2639008,3.622960263141321,0.5991516993748819,,,,,,,,,"05520465+0052528",16.139,15.816,15.568
3219658981465016064,87.92440922233442,0.8130752622111067,205.26041355483315,-12.878119669288154,18.493074,1.4289303,-0.3381778904187789,0.2695599120557582,,,,,,,,,"05514185+0048472",16.569,15.817,14.446
3219659806098736640,87.89746179086129,0.8380750468551426,205.22477068221673,-12.890109381014556,18.571125,1.7075825,0.5436396276174926,0.28518445856356583,,,,,,,,,"05513537+0050169",16.193,15.544,15.466
3219655751649608320,87.95266480554548,0.7951790669368727,205.29025691825436,-12.861625610859342,18.40641,1.3545837,0.10316869112638721,0.2600268431341939,,,,,,,,,"05514862+0047427",16.503,15.943,16.678
3219660080976641920,87.87855153856546,0.8636618803452691,205.19247869195948,-12.89472940178786,17.76903,1.7330723,0.4788600336907223,0.15828900445135183,,,,,,,,,"05513084+0051493",15.538,15.073,14.769
3219654652137980416,87.99962237206273,0.7535232694948172,205.3506255961972,-12.839814726740949,18.547318,1.63377,0.897165920980945,0.2659145187004566,,,,,,,,,"05515990+0045128",16.319,15.736,15.132
3219655408052222464,87.98669434626468,0.771364732009825,205.3282394269085,-12.842820671252664,18.441973,1.78619,0.7086531844675393,0.24737975964649758,,,,,,,,,"05515679+0046171",15.967,15.197,15.351
3219665952195451648,87.95558760289319,0.8801167138248862,205.21482370897883,-12.819036832856687,18.381134,1.6297646,0.09348556305917095,0.23743013701725058,,,,,,,,,"05514932+0052487",16.046,15.488,15.325
3219662206983776128,88.084676053267,0.8717393958772577,205.2847419557707,-12.709126960791307,18.60318,1.7165604,1.129537022472073,0.2771529534061757,,,,,,,,,"05522031+0052180",16.182,15.56,15.214
3219662722379850752,88.1676468164116,0.8616159004751214,205.33393246856943,-12.640702933213877,17.21505,1.8158321,0.42215745338886956,0.12697428967267768,,,,,,,,,"05524023+0051418",14.839,14.367,14.128
3219660184055855232,87.88097018578776,0.8673322633305949,205.19032699374898,-12.890866640492355,19.750376,2.013094,0.6521206534136061,0.7218170562929032,,,,,,,,,"05513143+0052022",16.812,15.69,15.599
3219651662840794496,87.91499057432686,0.6197318735522103,205.43088153505383,-12.977444960516655,18.735544,2.257948,0.35212301428130344,0.4252622904390443,,,,,,,,,"05513958+0037111",15.701,15.008,14.967
3219663615733048960,88.10036397828055,0.8677155014868156,205.29595280315294,-12.69718374333381,19.218134,1.813858,0.2300865536405602,0.46442432154860613,,,,,,,,,"05522409+0052037",16.543,15.969,15.286
3219662756739589888,88.16810133692918,0.868891855442528,205.32757296644363,-12.636876835655743,18.644142,1.9193592,0.7698293440414754,0.26828334007149107,,,,,,,,,"05524035+0052079",16.316,15.548,14.893
3219655751649607040,87.95728394614277,0.7950218771457835,205.2926301859934,-12.857625153698859,18.831543,1.5269012,-0.020669457357730257,0.3386523173118228,,,,,,,,,"05514973+0047422",16.549,15.778,15.686
3219689248097763072,88.29625797880075,1.002989930586165,205.2681839183683,-12.46069092997888,19.689533,2.9670467,,,,,,,,,,,"05531112+0100108",16.139,15.297,14.894
3219658981465012992,87.92484043888626,0.8253290238492914,205.2495340754613,-12.871967077773114,17.4263,1.4071903,0.33204322390323016,0.14496249313120385,,,,,,,,,"05514195+0049312",15.486,15.062,14.923
