source_id,ra,dec,l,b,phot_g_mean_mag,bp_rp,parallax,parallax_error,priam_flags,flame_flags,a_g_val,e_bp_min_rp_val,teff_val,radius_val,radius_percentile_lower,radius_percentile_upper,original_ext_source_id,j_m,h_m,ks_m
3336416705334706944,84.38922751719565,9.59180204985225,195.66280122310948,-11.656149190802278,16.612434,1.0285645,0.2557429327641299,0.07837792068066685,100001,,,,5256.72,,,,"05373341+0935305",15.162,14.888,14.738
3336416701037623808,84.38070320700054,9.597621639236985,195.65332788563552,-11.660442589632055,17.601973,0.9845123,0.18992132675921025,0.15415314455384127,,,,,,,,,"05373135+0935514",16.359,15.85,15.338
3336416705332127360,84.38804613257362,9.590481934022028,195.6633599317203,-11.657822576202763,20.132488,2.8232555,3.076715167365132,0.952260483144667,,,,,,,,,"05373314+0935258",16.777,15.488,15.512
3339437162558541696,84.20728191405553,9.803688478355403,195.38341529709885,-11.703085934637885,18.048832,1.1824722,-0.13289531086214998,0.23990180220847426,,,,,,,,,"05364975+0948132",16.435,15.924,15.67
3339425518904370560,84.25691304992775,9.784042814956544,195.42607540357608,-11.670950021525318,16.142078,1.5598907,1.0604564629246622,0.08876152754980107,100002,200111,1.154,0.589,4361.0,0.98355484,0.9125441,1.0429511,"05370165+0947025",14.158,13.575,13.422
3339441186945084544,84.09553871088093,9.843034113840883,195.29161503722435,-11.777870931375297,15.60996,1.3630495,1.1784197547068918,0.058870815202489664,100001,200111,0.9395,0.4697,4951.7266,0.7936693,0.76104134,0.92637914,"05362291+0950350",13.885,13.362,13.274
3339438506885465856,84.22591748092954,9.84515005031038,195.3564882213737,-11.666195454826825,14.89127,1.1005802,1.0105692446578425,0.03823737563832277,100001,200111,0.7785,0.3887,4951.3335,1.2888433,1.2136828,1.4124993,"05365421+0950427",13.429,13.067,13.012
3339530380528213376,84.25005072850956,10.347643567899043,194.9273983835062,-11.389970683113171,19.57655,2.2212372,2.989221930197464,0.4826528343203402,,,,,,,,,"05370002+1020510",16.254,15.716,15.509
3339427335673410944,84.33985797769256,9.84852734555251,195.41175907168568,-11.567792389569766,18.688646,1.7426662,0.5213504629576995,0.27173551674330687,,,,,,,,,"05372153+0950549",16.226,15.779,15.206
3339519694651286784,84.06707327849445,10.375511798562925,194.8092682707324,-11.530578209487357,15.934214,1.1995506,0.2847350822127591,0.05732496132250373,100001,,,,4878.0527,,,,"05361609+1022318",14.449,14.022,14.009
