recno,RA_ICRS,DE_ICRS,GaiaDR2,GLON,GLAT,Plx,e_Plx,pmRA*,e_pmRA*,pmDE,e_pmDE,RV,e_RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,_RA.icrs,_DE.icrs
77327,102.06293018992,-21.31386306753,2926169057089032192,231.75789961551428,-10.210540568712847,1.2673495693935704,0.0504969905219854,-4.437736536521832,0.0711643129896034,-1.6926658981356737,0.0819125645307448,,,281,11.361187,0.15541363,1.0,NGC_2287         ,8617.1875,102.06295069964,-21.31385577966
77353,101.46503316628,-21.27463515893,2926837250919430912,231.48063012264552,-10.6979077116492,1.322745514085235,0.018579393333018,-4.265590385001617,0.0278055765867667,-1.054758944998032,0.0306315312872643,,,351,13.829777,0.7834749,1.0,NGC_2287         ,6126.407,101.46505287514,-21.27463061761
77354,101.65309001775,-21.24951372356,2926841683326298880,231.5332538620714,-10.5285841625407,1.3165699059938811,0.0413785472975907,-4.485472400975507,0.0596803694428221,-1.1339524920879895,0.0716707251237789,,,306,11.325482,0.14297771,1.0,NGC_2287         ,8859.424,101.65311073902,-21.24950884126
77355,101.69997182479,-21.17709974943,2926842439240504832,231.48552477097928,-10.458217891721912,1.3984066373813404,0.0446479733228373,-4.496352627348638,0.064775499977401,-1.4578945646144668,0.0722335466095937,,,312,11.246051,0.19034195,1.0,NGC_2287         ,8680.497,101.69999258613,-21.17709347239
77356,101.54067701918,-21.24391201029,2926843401312541440,231.4827873980212,-10.621036812598089,1.3198800863285742,0.019767618763932,-4.4092424566798165,0.0293143745367772,-1.30212168625755,0.0321399241396079,,,361,14.226065,0.8453245,1.0,NGC_2287         ,5905.827,101.54069738752,-21.24390640393
77357,101.51970245275,-21.22683344761,2926843676190446336,231.4586063549764,-10.631479780105256,1.2305547470016929,0.0766719267439252,-4.31441241729845,0.1194657583966138,-1.2221696812213367,0.1202803270537398,,,356,17.144575,1.7520714,1.0,NGC_2287         ,4101.752,101.51972238072,-21.22682818548
77358,101.60767362402,-21.13320699781,2926846631127833984,231.40787331727995,-10.517429539301776,1.3417447366331896,0.0229189386398325,-4.447360398519745,0.0351431032896443,-1.0123573217136737,0.0351542427299672,,,307,14.155511,0.83755493,1.0,NGC_2287         ,5892.314,101.60769415307,-21.13320263905
77359,101.61601397423,-21.08946366848,2926846871645962752,231.37098062780484,-10.49177441143764,1.2860044972867324,0.0308417392285436,-4.250696171577215,0.0438585699559172,-1.2361894599289045,0.0470526708254959,,,317,12.14363,0.398386,1.0,NGC_2287         ,7264.3857,101.61603358968,-21.089458346
77360,101.58201430136,-21.11122631577,2926846906005739392,231.37728370360765,-10.52973975234168,1.4072419629367003,0.029812347823476,-4.222893066835436,0.0453955905192382,-1.3970953305083311,0.0457239911470386,,,301,14.941356,0.9970312,1.0,NGC_2287         ,5425.157,101.58203379137,-21.11122030049
77368,100.98789813098,-21.25675248965,2926876180503226112,231.2724262761066,-11.0931671454031,1.3539822581964471,0.1035460802548572,-4.350535750278783,0.1280743690042226,-1.0021591126760072,0.1786672402913559,,,295,17.371328,1.8479996,1.0,NGC_2287         ,3906.098,100.98791822988,-21.2567481748
77369,101.28547071464,-21.30957861592,2926883018091049600,231.44063878609708,-10.86424744722507,1.3825022875486168,0.0477981942203483,-4.285036945043168,0.072027953739297,-1.336589101183915,0.0828177304175969,,,308,16.225992,1.4226198,1.0,NGC_2287         ,4532.6323,101.28549051806,-21.30957286116
77370,101.35802842093,-21.17661927795,2926886454064759552,231.34722234048803,-10.74663899653626,1.411029824982856,0.0451682641081111,-4.1772944240459084,0.0668811728963397,-1.1219743196786895,0.0754640712299032,,,325,16.015985,1.3128624,1.0,NGC_2287         ,4716.081,101.358047709,-21.17661444722
77371,101.12833355091,-21.18716096656,2926888756167352192,231.26455341534955,-10.945109179522928,1.3986367317384107,0.0288186510035589,-4.404689114444965,0.039811194688583,-1.3100669325860883,0.0545271705214643,,,316,15.021494,1.0406036,1.0,NGC_2287         ,5322.722,101.12835389039,-21.187155326
77372,101.30792728182,-21.13202380265,2926889752599638144,231.28594141260373,-10.77003718864604,1.4003405752290623,0.028535852410908,-4.3428105062781,0.0404614601200664,-1.4433215518182412,0.0494039007396753,26.150684204996136,6.091769562148153,322,11.941312,0.35669518,1.0,NGC_2287         ,7300.139,101.3079473281,-21.13201758835
77373,101.46851150095,-21.13019487627,2926892123422228224,231.3489609263501,-10.633637980563876,1.4152149113033952,0.0318871648230107,-4.170102709086465,0.0447396063423652,-1.2350375618379934,0.0486804091749863,,,296,12.597226,0.54460907,1.0,NGC_2287         ,6677.1807,101.46853074978,-21.13018955874
77374,101.44117981726,-21.07627012546,2926893257292845312,231.2882694494039,-10.633811478172738,1.3818761010005631,0.0400131248546474,-4.201874104223337,0.0615410678031266,-1.4448451006108056,0.0650117679021799,,,333,15.926739,1.2959394,1.0,NGC_2287         ,4783.5693,101.4411992057,-21.0762639046
