recno,RA_ICRS,DE_ICRS,GaiaDR2,GLON,GLAT,Plx,e_Plx,pmRA*,e_pmRA*,pmDE,e_pmDE,RV,e_RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,_RA.icrs,_DE.icrs
82490,115.82773449169,-15.43774297328,3028936595008269952,232.5893161098832,4.079378583442095,0.5539030964413015,0.0387867865551266,-3.7911904765573,0.0549488612396455,0.3135548332016198,0.0530501364687463,47.96796541203491,0.3571711539078226,251,9.86222,0.8687849,1.0,NGC_2437         ,5719.2705,115.82775142586,-15.4377443233
82492,115.7449567706,-15.40375712395,3028940305860032768,232.5201892815641,4.026766252105354,0.5428067784395324,0.0453992198911618,-3.937334520126551,0.0587407559660321,0.3696255001777735,0.0504081474806848,,,225,15.208891,0.8055868,1.0,NGC_2437         ,6131.4106,115.74497435467,-15.40375871539
82493,115.81589306023,-15.32069430778,3028942573602721792,232.48162310459887,4.127257043590526,0.6943137204687436,0.059385058529555,-3.918222390145112,0.0756009637874427,0.3505883620375927,0.0727954649746658,,,230,15.977703,0.932374,1.0,NGC_2437         ,5753.7607,115.81591055197,-15.32069581726
82494,115.816543557,-15.30600275023,3028943157718270976,232.46912482477305,4.135056990428748,0.4952940561685226,0.0392773535179794,-3.824104699552668,0.054193566002277,0.5049403492342119,0.0478406432333007,,,230,15.076029,0.76647377,1.0,NGC_2437         ,6547.8447,115.81656062738,-15.30600492428
82495,115.95714159058,-15.30386179978,3028945013144094464,232.5344428063225,4.254017064638359,0.5969725752150115,0.028680325166212,-3.83744201450908,0.0431052507691237,0.3272450175641057,0.0395547111215717,,,218,14.347174,0.66826725,1.0,NGC_2437         ,6390.3022,115.95715872033,-15.30386320875
82496,116.02342006303,-15.27996368286,3028945494180395392,232.54531946886505,4.321402242128187,0.5869889679414875,0.0265829308809343,-3.870875045404692,0.0393129057274458,0.4176926622880624,0.0361011480771549,,,210,13.799573,0.44185543,1.0,NGC_2437         ,7097.5996,116.02343734004,-15.27996548126
82499,115.96503497902,-15.28581553404,3028948002441324160,232.52248788705904,4.269557561888836,0.5559660756631478,0.0528528716842932,-4.117936483261016,0.0787144370669559,0.357197784973586,0.0744331211130492,,,213,16.010763,0.91735363,1.0,NGC_2437         ,5862.5107,115.96505335927,-15.28581707198
82500,115.99592679496,-15.23348452399,3028948620916586368,232.491651974956,4.321338003200959,0.6157364426277429,0.0297325988667976,-3.907312316347866,0.0468345527318511,0.5864786878636065,0.0464610276245275,,,222,13.15821,0.2640772,1.0,NGC_2437         ,7983.772,115.99594423075,-15.23348704911
82501,115.9563749465,-15.2400331672,3028948758355561472,232.4784388023256,4.284929463892692,0.5765070253741329,0.028582674286141,-3.9273867448447257,0.0421097182095015,0.3042756388349881,0.0417552286779328,,,210,13.887908,0.6318159,1.0,NGC_2437         ,6680.491,115.95639247242,-15.24003447728
82623,115.32449677243,-15.4401140931,3029101418673164288,232.35178772171125,3.65612491219804,0.4396908549462967,0.047956668292258,-3.6395166834993136,0.0750005717838675,0.5316958114950944,0.0663668219873085,,,247,16.001822,1.4122744,0.7,NGC_2437         ,4966.9307,115.32451302929,-15.44011638234
82626,115.5253912457,-15.44596036369,3029103583336580224,232.45238712740704,3.8218172065073928,0.5983458858558357,0.0653762677963175,-3.8959996786358575,0.0939075271810608,0.209471160163167,0.0689279046135314,,,231,16.1788,0.99154377,1.0,NGC_2437         ,5685.059,115.5254086487,-15.44596126558
82627,115.59757884358,-15.42117768232,3029104785927683712,232.4651373577478,3.8945794894435593,0.6130727158242169,0.0731755750408933,-3.9940259178033535,0.0919647723222369,0.3069193078017249,0.0722682191222029,,,206,16.149986,0.9891424,1.0,NGC_2437         ,5942.843,115.59759668232,-15.42117900377
82628,115.58763737735,-15.3905565594,3029105644920833664,232.4336971607442,3.901331754732493,0.6794828401502601,0.0799338891102736,-3.479016666791093,0.1091419544562474,0.564146540218601,0.0867261681693713,,,241,16.584276,1.052249,0.7,NGC_2437         ,5518.6343,115.58765291359,-15.39055898836
82629,115.56868067962,-15.38171875967,3029105679280578560,232.41696172854924,3.8897825654163727,0.615773817730289,0.0542131069346803,-3.8316941405879272,0.0728703979662797,0.3454683043082204,0.056732974123382,,,236,15.689776,0.885602,1.0,NGC_2437         ,6157.492,115.56869779009,-15.3817202471
82630,115.55452495053,-15.3822195353,3029105885439015552,232.41065848329333,3.877658706841931,0.5300814594238956,0.0744545325895815,-3.8032187920577263,0.0972336800735279,0.3984115189624546,0.0789189481137184,,,240,16.40748,1.04914,0.9,NGC_2437         ,5733.6313,115.55454193388,-15.38222125068
82631,115.42403433133,-15.38650631174,3029107088029929344,232.35231304526272,3.766040205683763,0.5989611217971924,0.0703292173746908,-3.965943238393388,0.0999888011549743,0.5365775437153185,0.0862753753539733,,,246,16.620459,1.073637,0.9,NGC_2437         ,5646.3994,115.4240520417,-15.386508622
