recno,RA_ICRS,DE_ICRS,GaiaDR2,GLON,GLAT,Plx,e_Plx,pmRA*,e_pmRA*,pmDE,e_pmDE,RV,e_RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,_RA.icrs,_DE.icrs
213137,247.15766977796,-49.66178130343,5940614703036861184,334.6461173570021,-0.6521434934673676,0.8577775227534625,0.0303843587097108,2.1554808699915,0.048368105477789,-4.351095096318095,0.0319044621606256,,,367,14.91891,1.2256088,1.0,NGC_6134         ,6564.4014,247.15765544061,-49.66176256955
213138,246.71157850828,-49.64522520291,5940623769680199424,334.45783943386937,-0.4325169216463448,0.8135139610489622,0.0262374384184678,2.0424611225332585,0.0397994566002341,-4.476220992000765,0.0237483380368992,,,326,13.060522,1.0179701,1.0,NGC_6134         ,7644.435,246.71156492732,-49.6452059303
213139,246.86793799381,-49.6155744039,5940624800472399616,334.54951928800574,-0.4847800868284393,0.9884130681854228,0.0270926040698543,1.8128078610306173,0.0413185866757753,-5.050992943579342,0.0263384514227792,,,330,13.78269,0.8536644,0.7,NGC_6134         ,6279.066,246.86792594722,-49.61555265657
213140,247.09347137889,-49.64631622366,5940626312300842880,334.62855385259206,-0.6114232355816551,0.903852000685738,0.0343958886934211,2.2248992220828576,0.0560378986950957,-4.359487293776436,0.0345988984760396,,,311,14.916582,1.3337307,0.8,NGC_6134         ,5604.6733,247.09345658451,-49.64629745364
213141,247.10631063167,-49.6151842545,5940626832025223424,334.65679205486924,-0.5958974537142712,0.8526761971712556,0.0503712744056369,2.450361859270842,0.0796622030972227,-5.022645529801268,0.0514706987993968,,,322,15.936825,1.3429155,1.0,NGC_6134         ,5850.4766,247.10629434849,-49.61516262922
213142,247.0831869878,-49.5540379799,5940628721810893568,334.69058356706626,-0.5427762519869552,0.8338470829288251,0.0427092104552706,2.113763040523593,0.0634059891445836,-4.392799313469952,0.0413394262038994,,,348,15.254433,1.3016558,1.0,NGC_6134         ,6380.0977,247.08317295899,-49.55401906646
213143,247.09180690395,-49.52741617611,5940628859249872512,334.7136782009601,-0.5283994487075111,0.8209733492439555,0.0260607286081455,2.237008202893218,0.0424131163558786,-5.440742652197979,0.0249424196495862,,,324,13.622233,0.8899927,0.8,NGC_6134         ,6410.768,247.09179206526,-49.52739275069
213144,247.13045966814,-49.49253843788,5940629305926489472,334.7562296590256,-0.522409128450832,1.0161292641583504,0.0879017399987528,2.005072241627172,0.1376009422585293,-5.382243574988318,0.0879486755848266,,,291,16.763258,1.5682459,0.7,NGC_6134         ,4706.217,247.13044637742,-49.49251526433
213145,247.11340949956,-49.4641479807,5940629409005739392,334.7690805040649,-0.4947756142225168,0.7666231196268989,0.0749902791902953,2.0709259554939408,0.1237523047659205,-4.2106096916084255,0.0721608190961824,,,299,16.581493,1.494442,1.0,NGC_6134         ,5839.1206,247.11339578028,-49.46412985169
213146,247.03354681888,-49.47217033595,5940630267999218944,334.7273768970404,-0.4628547693474176,0.8364919777149658,0.0583957563638335,2.024031096982137,0.0805938872843262,-4.632716459735469,0.0512364106576241,,,318,15.82252,1.3427534,1.0,NGC_6134         ,,247.03353340807,-49.47215038953
213147,247.02405108968,-49.46780783396,5940630336718703360,334.726252558857,-0.4553817714949029,0.8006141325932674,0.1022424884834485,2.1468818861331584,0.1895129878906961,-3.965125661005607,0.1088720589068348,,,259,17.04022,1.7038383,0.8,NGC_6134         ,4958.5894,247.02403686616,-49.46779076189
213148,246.92937939758,-49.47931297811,5940631534991389696,334.6753337289992,-0.4189921899254264,0.8502884336636268,0.0296244159254589,1.9847858758210395,0.0481530210620158,-4.380627095461975,0.0291089924164791,,,305,14.214324,1.0271378,1.0,NGC_6134         ,6347.175,246.92936624489,-49.47929411708
213149,246.84262324395,-49.54474185583,5940631642388768384,334.58912929275806,-0.4238062850587248,0.8685484574502046,0.03910647314587,2.1622185306247945,0.062568111843617,-4.2718202050526495,0.0403788184144159,,,310,15.217324,1.1501865,1.0,NGC_6134         ,6039.9453,246.84260889627,-49.54472346327
213150,246.8506081435,-49.49662987635,5940631882891846656,334.6273645916408,-0.3941453924334804,0.8866236654071966,0.1315423474532173,2.005703311510321,0.2227207405862251,-3.8890553978133378,0.1304161120428443,,,346,17.686186,1.4252701,0.7,NGC_6134         ,,246.85059484749,-49.49661313181
213151,246.87472080133,-49.47847949681,5940632226504360192,334.6513038868986,-0.3928296313933344,0.8836713105614167,0.0303666368742179,2.0186937571640207,0.0515031628697522,-4.659533936230457,0.0293458218210689,,,327,14.496655,1.0560913,1.0,NGC_6134         ,6501.392,246.87470742417,-49.47845943492
213152,246.84971435462,-49.47462115327,5940632260864113664,334.6428070704585,-0.3784526640561388,0.8650155329312528,0.0674129714721168,2.059738335039309,0.1045651253634237,-4.15767396404221,0.0629401474852491,,,333,16.173328,1.6021538,1.0,NGC_6134         ,6287.724,246.84970070654,-49.47460325217
213153,246.99250424277,-49.45489296996,5940632909375323904,334.72136941230406,-0.4316462949656797,0.7512312038271078,0.1603636662190377,2.1817197653732405,0.2450512188961339,-4.716489367600019,0.1592207556846111,,,303,17.985107,1.8039055,1.0,NGC_6134         ,,246.99248979225,-49.45487266285
213154,247.00406577639,-49.44818252034,5940633291656227072,334.73141573045035,-0.4324198280739984,0.8374209947183348,0.034674945600633,2.101907211553795,0.0519707001925498,-4.421502839817131,0.0331703078812403,,,295,14.460171,1.0858822,1.0,NGC_6134         ,6407.2104,247.00405185641,-49.44816348331
213155,246.98932353095,-49.38453723745,5940633738332881920,334.7706801972362,-0.3814190184912336,0.7013303359482863,0.1247624839037932,2.033599706443976,0.1937819720119038,-4.278489804275448,0.1214712542288171,,,334,17.674501,1.7389355,0.8,NGC_6134         ,,246.98931008079,-49.38451881617
213156,246.97284350748,-49.38057496096,5940633807052365184,334.76610480123406,-0.3709371870199482,0.7968462164890286,0.0441232935985605,2.2112951226450663,0.0695087175897842,-4.416403699472877,0.0434747572930538,,,322,15.531927,1.2425623,1.0,NGC_6134         ,6190.062,246.97282888322,-49.38055594589
213157,246.86399494674,-49.41440768887,5940634150649758848,334.69260560601214,-0.3433517086456516,0.8623775166853049,0.0265562501062278,2.2658041491878977,0.0456754755881736,-4.6050100338879085,0.0263472222550907,,,349,14.085954,1.0925903,1.0,NGC_6134         ,6942.5547,246.86397995167,-49.41438786175
213158,246.85184164513,-49.40211931811,5940634215042786944,334.69596581448,-0.3291304025204668,0.9081456066599282,0.090204987194379,1.9531792552780705,0.17233490019487,-4.740358138251846,0.0904192009961572,,,306,17.097452,1.5570908,1.0,NGC_6134         ,4763.657,246.85182872224,-49.40209890823
213159,246.88636361221,-49.39630721477,5940634288088716288,334.71573991834254,-0.3412760328984969,0.9511647965664732,0.1200771364674165,2.317461997618744,0.1991708359742536,-4.6833123390136695,0.1198739000155521,,,326,17.59212,1.6755486,1.0,NGC_6134         ,4436.638,246.88634828092,-49.39628705051
213160,246.91415528857,-49.35266608982,5940634597326373248,334.75973001408886,-0.3240443301552833,0.7866708805396355,0.0322026773077801,2.030569756141709,0.0511336444739886,-4.559165693489777,0.0329913745234119,,,337,14.807314,1.1510544,1.0,NGC_6134         ,6679.7505,246.91414186715,-49.35264646008
213161,246.88463967171,-49.37104755417,5940634666045848832,334.73315534622424,-0.3229451026023484,0.7890560479325672,0.0229163991427127,2.144763661777465,0.0383953647029315,-4.554068810043763,0.0224418487084509,,,337,13.28942,0.933115,1.0,NGC_6134         ,6576.8833,246.88462549021,-49.37102794637
213162,246.87111190917,-49.35480324769,5940634764798676096,334.7387422370312,-0.3053302208158466,0.9049365239697744,0.0891128340582391,2.177927656502914,0.1510204708118598,-4.323413872156779,0.0904372668272497,,,311,17.113676,1.5705147,1.0,NGC_6134         ,,246.87109751314,-49.35478463299
213163,246.86827347982,-49.34842667025,5940634769125070336,334.74205124875766,-0.2995743305807507,0.7901727386621299,0.0334496958523674,2.0950506917029483,0.0546676066988871,-4.588036579187204,0.0327876115181025,,,362,15.00909,1.1830053,1.0,NGC_6134         ,6111.6914,246.8682596334,-49.3484069162
213164,246.90844789485,-49.34878912401,5940634799158422400,334.75994513802726,-0.3186770460447276,0.9042295046763072,0.1079253985685149,2.017106304035313,0.1674669963116213,-4.060062321021478,0.1077272629589537,,,315,17.40776,1.6382141,0.9,NGC_6134         ,,246.90843456347,-49.34877164319
213165,246.90334469574,-49.33427064326,5940634833516423424,334.76809919587294,-0.3062128929714637,0.8391739104547657,0.038723619878437,2.1869427254550287,0.0611936405890781,-4.494781434044572,0.0383708302102244,,,350,15.317877,1.2190504,1.0,NGC_6134         ,6027.271,246.90333024615,-49.33425129073
213166,246.88948538259,-49.3383043373,5940634867877910528,334.7589294784904,-0.3025050721765498,0.7644225091809274,0.116036608219325,2.2476371591167696,0.1715414674932977,-4.581424592844732,0.1076737551374665,,,318,17.42192,1.6258717,1.0,NGC_6134         ,5222.8975,246.88947053076,-49.33828461173
213167,246.87387565134,-49.33861795822,5940634872204286208,334.75164740336027,-0.2953971076120861,0.9817070466646348,0.0918485641490095,2.3149252701289447,0.1441260243260765,-4.440562327010925,0.0795588804378232,,,298,16.873095,1.4978123,1.0,NGC_6134         ,4576.4375,246.8738603548,-49.33859883913
213168,247.42913210255,-49.64803355691,5940635284521305728,334.7773054760959,-0.7698997261517434,0.8652294409662099,0.0661359792145396,2.345224092905715,0.1211463079966101,-4.336770372360503,0.0734714875026078,,,301,16.665476,1.7384748,0.7,NGC_6134         ,5820.674,247.42911650752,-49.6480148847
213169,247.47979338735,-49.47997633214,5940638857934241536,334.9218522770782,-0.6780711284120998,0.8167831091622904,0.0518577465379653,2.0697733941428065,0.0719186742011916,-4.798340870831764,0.0512180469050625,,,309,15.623156,1.2973604,1.0,NGC_6134         ,,247.47977967128,-49.47995567262
213170,247.40020325551,-49.45511924378,5940641705463958656,334.90427355515857,-0.6234426801678861,0.6719650471789693,0.1007589038424069,2.21518672300526,0.1639619675343829,-5.098225563807891,0.1025368736068902,,,273,17.033201,1.9629974,0.8,NGC_6134         ,5532.091,247.40018858326,-49.45509729308
213171,247.35731104144,-49.40934997572,5940642431347212288,334.9182269581204,-0.5716906713615033,0.8118541117320338,0.1056103737472676,1.7876321258819938,0.1838662388881095,-4.07126431037354,0.1095531995485033,,,248,16.730932,1.5958643,0.9,NGC_6134         ,5590.753,247.35729921212,-49.40933244666
213172,247.31358785822,-49.44926288532,5940642637506317696,334.869708024778,-0.578608027606876,0.7686749879173945,0.0638875610408907,2.6829834173316662,0.0941455603507701,-4.397878626387795,0.0604746205810336,,,307,15.148401,1.6092281,1.0,NGC_6134         ,6155.624,247.31357008964,-49.44924395001
213174,247.42347499327,-49.28277028624,5940649165856062464,335.0396802527207,-0.5157363371503801,0.96841616953676,0.052205390486257,1.981832431435233,0.0742741332199277,-4.196063249810682,0.0462956350592783,,,314,15.6170225,1.3155584,1.0,NGC_6134         ,5944.9893,247.42346191256,-49.28275221985
213175,247.35792449545,-49.34613388676,5940649234575490304,334.96430881445565,-0.5284114413660461,0.6719366593477089,0.1389407332083415,2.3882293943232917,0.2165383188302303,-4.285537419953696,0.1329283642486055,,,326,17.741634,1.7481785,0.8,NGC_6134         ,,247.35790871212,-49.34611543514
213176,247.35196464513,-49.34123463608,5940649303294980096,334.9651823129476,-0.5222213588300999,0.8869571530569776,0.0756566301547066,2.3591430734586654,0.1420940458654708,-4.399058715449803,0.0761020047159716,,,274,16.659542,1.4542971,0.9,NGC_6134         ,,247.35194905557,-49.34121569569
213177,247.30029880837,-49.31651713891,5940649578172961664,334.9598678177805,-0.4807909306952683,0.8854330169850348,0.03334458332061,2.047606625457144,0.0530917237278989,-4.354824028584783,0.0332274107176465,,,314,14.568325,1.0786257,1.0,NGC_6134         ,5240.5054,247.30028528428,-49.31649838897
213178,247.37646709387,-49.28228217621,5940649887410604032,335.01891132860686,-0.4931699059710689,0.8126677604941335,0.0318927428591545,2.294723291401493,0.044191957588974,-4.679464793135516,0.0288043126700626,,,321,14.048833,1.0372334,1.0,NGC_6134         ,6074.6157,247.37645194814,-49.28226202851
213179,247.39420555756,-49.27520229734,5940649921770340608,335.032016029696,-0.4966799501641359,0.9390743566683316,0.1034792849470661,2.344757804888656,0.1560965152680946,-4.475095635211697,0.0946252328567026,,,295,17.084896,1.5659103,1.0,NGC_6134         ,,247.39419008381,-49.27518302956
213180,247.38458584546,-49.25058615522,5940650020520852992,335.0455347292105,-0.475171297557092,0.8024392136761267,0.0849795433483159,2.2180835921152338,0.137216316596617,-4.566086553913993,0.0789739618804329,,,284,16.743364,1.4562016,1.0,NGC_6134         ,,247.38457121498,-49.25056649568
213181,247.34144387628,-49.26725240084,5940650127928821760,335.0140529924663,-0.4662547162001184,0.8515958613911886,0.0462808591582476,2.104419073736791,0.0689754609365151,-4.488726966230153,0.0422980829168695,,,324,15.397688,1.1888285,1.0,NGC_6134         ,,247.34142999084,-49.26723307438
213182,247.44321642087,-49.2657552373,5940650673354845056,335.06088901169403,-0.5133629348663071,0.8468276414152451,0.0481170835513173,1.699212250491116,0.0705206105957484,-4.2257800825135226,0.0433664033663585,,,264,12.202515,0.89591694,1.0,NGC_6134         ,6647.6367,247.44320520942,-49.26573704297
213183,247.42053140548,-49.17246418502,5940652086433996672,335.11834684213807,-0.4383856489465076,0.9181284037738248,0.0278478997572512,2.37428516153474,0.0442727735258153,-4.165752252974151,0.0250727437022075,,,312,13.265927,0.9437237,1.0,NGC_6134         ,6985.435,247.42051576942,-49.17244624914
213184,247.43554442271,-49.14966674161,5940652223872971136,335.1416398633716,-0.4298081361827197,0.8697377275418021,0.1129855165078667,2.1662255151050016,0.1799497062575082,-4.619960530658014,0.1135634083107991,,,338,17.397852,1.5969238,1.0,NGC_6134         ,,247.43553016341,-49.14964685011
213186,247.18841239746,-49.48103596389,5940652567470041088,334.79056235452987,-0.5416706143528488,0.7944573206234342,0.0778244459050901,2.318990476603424,0.1320773612836173,-4.381559959831594,0.0770848670060658,,,305,16.750301,1.4419594,0.9,NGC_6134         ,,247.18839702953,-49.48101709884
213187,247.18228937165,-49.44500891933,5940652773628520960,334.81386199661506,-0.5139044868603849,0.6745330473721974,0.1156912962620774,2.1291343810207226,0.1750417548792276,-4.378247963636977,0.1130898915254754,,,352,17.479492,1.6166744,0.9,NGC_6134         ,4593.436,247.18227527226,-49.44499006854
213188,247.10589381174,-49.39929435636,5940653868813142272,334.8125465993009,-0.4463947312843983,0.7295619538609752,0.1301873144682772,2.5577361566693666,0.2024567227574948,-4.676078456281336,0.1300277051698378,,,340,17.739504,1.75881,0.9,NGC_6134         ,5678.183,247.10587688987,-49.39927422324
213189,247.10861071017,-49.39655819246,5940653873140271872,334.81574584640543,-0.4457795658371248,0.792960711776881,0.0384154063410309,2.1146119249997755,0.0630231130249086,-4.227674339641256,0.0379583039834955,,,355,15.296702,1.2136564,1.0,NGC_6134         ,6473.1494,247.10859672077,-49.39653998997
213190,247.06821563655,-49.37366965983,5940654148018247040,334.8140833190886,-0.4109571198106412,0.8061158841231446,0.036491146145485,2.301083751408104,0.0634800986826395,-4.40666052376783,0.035106279172584,,,328,14.950043,1.1297798,1.0,NGC_6134         ,6343.9673,247.06820042062,-49.37365068671
213191,247.14228024138,-49.380348466,5940654216737656704,334.842610846615,-0.4504056148328761,0.9290655357290588,0.0677898505615881,1.816550131005361,0.1117093289116577,-4.538436079596271,0.063142049847056,,,286,16.303463,1.5194521,1.0,NGC_6134         ,5042.492,247.14226822781,-49.38032892551
213192,247.11360466822,-49.37977785322,5940654251097417216,334.8301152115181,-0.4365231860962945,0.8507619791805218,0.0248344412023367,1.8597522483133493,0.0414759345291787,-5.078035999599894,0.0245850725756948,,,353,13.775822,0.8695049,1.0,NGC_6134         ,6756.0835,247.11359236907,-49.37975598945
213193,247.10101985066,-49.34439824536,5940654590367730560,334.8500017226093,-0.4061349920979095,0.8432428481505816,0.1385300070338253,2.346525636532724,0.2102274692927726,-4.456282778218825,0.1279029635114468,,,320,17.642702,1.6603088,0.9,NGC_6134         ,4339.837,247.10100434348,-49.34437905859
213194,247.09753669367,-49.32032914668,5940654697774119040,334.8658151934248,-0.3878478390969705,0.9943839296300891,0.1093037645190246,2.375291111705984,0.1713241038229783,-4.250059017918602,0.1007694997607954,,,318,17.276806,1.5935574,1.0,NGC_6134         ,4253.052,247.09752100406,-49.32031084781
213195,247.24231095808,-49.39335299406,5940654766493380352,334.8781888189607,-0.5064712521317059,0.7719131268132273,0.1614464267456971,2.3906898987324814,0.2304168597958382,-4.44041187883404,0.1484700849088716,,,310,17.867064,1.7771435,0.8,NGC_6134         ,3956.2024,247.2422951433,-49.39333387561
213196,247.24131673619,-49.37612390539,5940654865245596800,334.890208053224,-0.4941096419788244,0.867874125269676,0.1212028945565736,2.485228638862752,0.1936368914889631,-4.5838083857905,0.1203146963719685,,,343,17.55236,1.6896858,1.0,NGC_6134         ,,247.24130030178,-49.37610416955
213197,247.27607985588,-49.3380816666,5940655316249254144,334.9333664126415,-0.4842407334974215,0.8530559433377025,0.0604255598090915,2.0159524939406057,0.0973307332370591,-4.449686640618472,0.0584659982447197,,,335,16.218302,1.3814697,1.0,NGC_6134         ,5369.8726,247.27606653503,-49.33806250822
