recno,RA_ICRS,DE_ICRS,GaiaDR2,GLON,GLAT,Plx,e_Plx,pmRA*,e_pmRA*,pmDE,e_pmDE,RV,e_RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,_RA.icrs,_DE.icrs
120507,268.9825686163,-35.36187526906,4040537732755028352,355.58000888643227,-5.1534009518214585,3.579549854236949,0.1465025330661428,2.608551206415602,0.2557301625337067,-5.38742077510427,0.2089066107958498,,,126,17.211266,2.3654318,0.9,NGC_6475         ,3775.1924,268.98255484429,-35.36185207322
120589,268.96052674699,-35.32292448816,4040561544062678656,355.60495178020045,-5.118425631333702,3.7570100487981617,0.0381544215335476,2.8491676667402306,0.0630775829278807,-5.560278976155843,0.0526039893531031,,,148,14.191678,1.5145149,0.9,NGC_6475         ,4796.5063,268.96051171188,-35.32290054807
120590,268.94673319546,-35.3190607756,4040561544062706432,355.6026927446248,-5.106741040598861,3.649274495059703,0.0706819828333469,2.4231545435762527,0.1088371079032218,-4.988578654032006,0.09028351241487,,,128,9.495433,0.32785606,0.7,NGC_6475         ,8134.5586,268.94672040904,-35.31903929699
120591,268.99677122829,-35.30447516428,4040561608376714752,355.63579295307096,-5.134902988084816,3.6797576776697225,0.0636633195965052,3.1553942757813367,0.1028150720221067,-5.678471870274587,0.0868570859857572,,,134,15.086873,1.8075581,0.9,NGC_6475         ,4085.1436,268.99675458101,-35.3044507153
120681,268.22805149429,-35.40993927775,4040642736080671616,355.2292544984173,-4.644903879951849,3.69992563504572,0.0455892271650764,3.449913903444902,0.0889462313414259,-5.712183780146449,0.0694806173614684,-12.708597888517108,1.2989950480564636,165,11.443004,0.7923708,0.9,NGC_6475         ,6319.8784,268.22803326938,-35.40991468363
120692,268.15497995569,-35.31402057744,4040691488183049344,355.2822474504783,-4.545097971546174,3.5673630588803533,0.0366774383859427,2.3918064180838727,0.0648269352438188,-5.7675384387846815,0.0514705453076261,,,158,12.989861,1.1097231,1.0,NGC_6475         ,5633.8438,268.15496733547,-35.31399574498
120693,268.15577659793,-35.3135872205,4040691492570059776,355.2829516869872,-4.545440812813991,3.3737212991935066,0.0557809167454057,3.313935544075198,0.0938395816446459,-5.575677041699383,0.075136099319273,,,158,13.877792,1.3377094,0.8,NGC_6475         ,5129.3887,268.15575911224,-35.31356321411
120694,267.96592680488,-35.38944208733,4040692106660958848,355.1388404536842,-4.450096444068934,3.537495080082485,0.1961243026283042,3.7082657276087514,0.2790082512686262,-5.810462029784758,0.214339320294999,,,114,17.118616,2.2548714,0.8,NGC_6475         ,3954.8052,267.96590722016,-35.38941707006
120695,267.96499120815,-35.36537816404,4040692351564407680,355.15927554685675,-4.437268033271844,3.2707646250328937,0.0930533522613089,2.5957905498072966,0.1446721438434109,-6.287839582320453,0.1106003303325161,,,133,7.270408,0.06949282,0.9,NGC_6475         ,9204.581,267.96497750291,-35.3653510914
120696,268.0622393434,-35.2476727093,4040694722386654592,355.3013781567108,-4.446255400743486,3.5731327259349275,0.0526351844583698,2.453034629301869,0.1006085803095675,-5.181363370299182,0.0809079150544631,,,131,10.599369,0.63486004,0.8,NGC_6475         ,6484.1245,268.06222641071,-35.24765040065
120706,267.911806196,-35.18794108725,4040707023179614976,355.2907231255012,-4.310023655262033,3.3980588839040964,0.0631654718768989,3.072691112102852,0.1003790109000558,-5.498035691148905,0.0790415242388268,-15.651664502066955,3.111022337391096,129,11.641846,0.79601955,1.0,NGC_6475         ,6243.045,267.91179000833,-35.18791741515
120707,268.03260236038,-35.11237632263,4040708431928693376,355.4062029465423,-4.356989587340308,3.6105361236322455,0.0899120275672402,2.998537076056743,0.1531449900301038,-6.095424640564144,0.1224564330330663,-20.64335652396339,0.3407064345186082,175,12.209382,0.94710636,1.0,NGC_6475         ,5965.088,268.03258657803,-35.11235007844
120708,267.92233876735,-35.15035259068,4040708603727816704,355.32760031963085,-4.298415109848,3.603738310549692,0.0872174642066928,2.3786167690986897,0.1426058245733547,-4.751911256222969,0.1143464860601964,,,136,15.7194,2.027131,0.7,NGC_6475         ,3901.5256,267.92232624202,-35.15033213106
120709,267.9984803475,-35.10596348447,4040709217806453632,355.3975976270121,-4.329664205403756,3.6527508395303214,0.0469836301432183,2.6190469372073606,0.0970692418880737,-5.868497089888663,0.07534257244344,,,175,12.4369955,0.9631052,1.0,NGC_6475         ,5673.244,267.99846656363,-35.10593821732
