recno,RA_ICRS,DE_ICRS,GaiaDR2,GLON,GLAT,Plx,e_Plx,pmRA*,e_pmRA*,pmDE,e_pmDE,RV,e_RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,_RA.icrs,_DE.icrs
229619,193.56918074319,-60.61638214299,6055646777763285888,303.28040069066645,2.2534470279987846,0.5097771041167306,0.0269442567150975,-4.777754441785406,0.032152202908423,-1.3065050054546354,0.0332450022570461,,,412,14.86285,0.81784916,1.0,NGC_4755         ,6169.831,193.56922266857,-60.61637651775
229620,193.53889893483,-60.59872658803,6055647121360697856,303.265718763671,2.271262016670021,0.4857403447145481,0.0285486410372913,-4.46710493415386,0.0331528158702656,-1.169957721373042,0.0327383577343813,,,385,14.847593,0.72045517,0.9,NGC_4755         ,6484.3394,193.53893811279,-60.59872155071
229621,193.3780705255,-60.63031408125,6055647361878786944,303.1864508887381,2.2404107430006217,0.4708220011244364,0.0278200949932962,-4.6497593732840885,0.0337860884769002,-1.142777495665931,0.0347577285911,,,342,12.984709,0.42961597,1.0,NGC_4755         ,8768.771,193.37811134534,-60.63030916095
229622,193.50586043868,-60.58792933262,6055647842915218048,303.24959608881977,2.282225864841339,0.4828648508862624,0.0269396575843955,-4.581082882970386,0.0322047754785475,-1.1140371350568037,0.0355761023388873,,,377,12.899024,0.31132317,1.0,NGC_4755         ,7595.853,193.50590060283,-60.58792453606
229623,193.54333042054,-60.55992297531,6055647945994481664,303.2683087078849,2.310040384800563,0.4869728997410333,0.0274747134992532,-4.582575970961236,0.0317808099391705,-0.9549159450669716,0.0330851336537051,,,357,14.544604,0.5961733,0.9,NGC_4755         ,7197.9365,193.54337056298,-60.55991886386
229624,193.27050593722,-60.59868202767,6055649251664439936,303.1338599061334,2.272423322306158,0.4536785830279436,0.0316536270643403,-4.534485665347136,0.0385458794531351,-1.1440291807410434,0.0393843294494862,,,384,15.193143,0.89450455,1.0,NGC_4755         ,,193.27054570607,-60.59867710198
229625,193.24057968486,-60.56449464354,6055650145017695616,303.11935981386705,2.3067005609851208,0.4147317459433143,0.0763543520619323,-4.901288459033263,0.0976477332897792,-1.3473021519107176,0.1024908927360943,,,375,17.082815,1.6053638,0.9,NGC_4755         ,5055.128,193.24062262522,-60.56448884265
229626,193.26186220458,-60.54680726744,6055650351176153472,303.1299379893564,2.3243238959554944,0.4655298560125169,0.0709759916343418,-4.9277327545226175,0.0860796278165976,-1.175623756430794,0.092154117380255,,,360,16.832909,1.5652647,0.9,NGC_4755         ,4961.243,193.26190535303,-60.54680220572
229627,193.35212404519,-60.58764933968,6055650557334530304,303.17404327488697,2.2831742511028827,0.424639739487782,0.0406775061441532,-4.682783660611379,0.0504866581260657,-1.3260427353275368,0.0527760248834051,,,360,15.736203,0.9935589,1.0,NGC_4755         ,6507.1533,193.35216510063,-60.58764363033
229628,193.3390062293,-60.57532063985,6055650763492979840,303.1676882693709,2.2955512869277435,0.5161770814811466,0.0440756794396433,-4.492540347148911,0.0529541458189184,-1.0986358588863565,0.0538127155696285,,,414,16.082188,1.2943802,0.9,NGC_4755         ,5965.976,193.33904560179,-60.57531590961
