recno,RA_ICRS,DE_ICRS,GaiaDR2,GLON,GLAT,Plx,e_Plx,pmRA*,e_pmRA*,pmDE,e_pmDE,RV,e_RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,_RA.icrs,_DE.icrs
226183,246.88225722123,-41.21299251748,5992878407712236672,340.6237619509064,5.329410785343871,1.4311830961109182,0.0950815181377091,-0.2574440699674485,0.2053297798990982,-2.0570012972073908,0.1538896603211584,,,186,16.74061,1.9400778,1.0,NGC_6124         ,5035.595,246.8822586947,-41.21298366095
226184,246.73812144531,-41.18482916348,5992880366217367296,340.5689231492348,5.427257974336252,1.5652009444405517,0.1035034977962202,-0.4402733300961757,0.2168079987346526,-2.1766828136905314,0.1792044963276496,,,178,17.044395,2.0593452,1.0,NGC_6124         ,4587.0796,246.7381239641,-41.18481979165
226185,246.65232495679,-41.20242285737,5992880744174498944,340.51127976065175,5.461678793780384,1.705733807321694,0.1255319236190136,-0.7559121097427386,0.2625847530116948,-2.4658608451442525,0.2139552156554106,,,168,17.421503,2.178051,0.9,NGC_6124         ,4167.6787,246.65232928251,-41.20241224047
226186,246.68393447054,-41.17175346699,5992881255246009856,340.5500554110786,5.46574918971847,1.5856963594691813,0.1113681099125321,0.2328176174007028,0.2404428431043149,-2.1716159634377217,0.1851508525667906,,,168,17.222992,2.1031876,1.0,NGC_6124         ,4424.3975,246.68393313886,-41.17174411698
226187,246.83710759127,-41.10543335133,5992882496521328000,340.67831275048235,5.428278463167723,1.5049957101805416,0.0281692301917003,-0.0265152635203197,0.0674535235222114,-1.8242233118092417,0.0594688218517153,,,177,13.782144,1.3813515,1.0,NGC_6124         ,8437.015,246.83710774278,-41.10542549704
226188,246.8450328064,-41.0719477662,5992882595275722112,340.70678025868017,5.447089143421056,1.531106451935066,0.0315060919430378,-0.1894021166093268,0.0724524287527214,-2.6615269363850755,0.060258834467359,,,161,13.400364,1.2740278,1.0,NGC_6124         ,7239.304,246.84503388811,-41.07193630685
226234,246.20936449053,-41.19111730487,5993054089046945408,340.2868689215594,5.70934336166646,1.519993731536319,0.0363977074805212,-0.560241079328673,0.0810045901924194,-2.506900558014037,0.0454821557674888,,,219,14.237519,1.4926777,0.9,NGC_6124         ,6603.7603,246.20936769597,-41.19110651127
226235,246.19271115051,-41.15792149015,5993054913680706944,340.30203278801093,5.741459345167655,1.5471239610300442,0.0333540521360298,0.310844088880486,0.0701641129720242,-2.6602981484855057,0.0404914590423559,,,230,13.824186,1.4520311,0.9,NGC_6124         ,7410.5425,246.19270937291,-41.15791003609
226236,246.14967615781,-41.17370150573,5993055051119665920,340.2679691484204,5.753702108912671,1.4937401426991883,0.0415956372875801,-0.2708406051325452,0.0878408864516017,-2.200665102813234,0.050138090041959,,,251,14.979585,1.6277666,1.0,NGC_6124         ,6326.321,246.14967770702,-41.17369203065
226238,245.98169941496,-41.23886000148,5993056391149477504,340.13242600740455,5.798765191601439,1.5472266889974506,0.1595307718913936,0.232352569723976,0.3303993958817116,-1.882995826689916,0.1813866777553263,,,264,15.532295,1.9627075,1.0,NGC_6124         ,5483.7344,245.98169808457,-41.23885189413
226239,246.15158880987,-41.12890333983,5993058143496149248,340.3012671945918,5.783891376969671,1.391438977371444,0.0289425364610609,0.1864390543481223,0.0650982755548613,-1.591461820441104,0.0376377299424386,,,234,13.17425,1.3114834,1.0,NGC_6124         ,8079.2803,246.15158774416,-41.1288964877
