recno,RA_ICRS,DE_ICRS,GaiaDR2,GLON,GLAT,Plx,e_Plx,pmRA*,e_pmRA*,pmDE,e_pmDE,RV,e_RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,_RA.icrs,_DE.icrs
117387,87.99834699274,31.95549318118,3444967429598829056,178.11813400704267,2.731945612723357,0.5491316838276307,0.0530962021379061,1.4809553141518097,0.094920203965812,-5.402479389466739,0.0751014263063173,,,141,15.636693,1.026166,0.7,NGC_2099         ,6021.142,87.99833947755,31.95551644185
117389,87.90358872335,31.94954918417,3444970251395163904,178.08231717002135,2.6596983408660697,0.6353092995641383,0.1867141450049366,1.958591745279768,0.2709867089124537,-5.843384980238286,0.2313904680018203,,,147,17.720114,1.3356857,0.9,NGC_2099         ,5020.6855,87.90357878501,31.94957434319
117390,87.88842462797,32.03067975389,3444971793285661952,178.00585416048816,2.6899261882573007,0.6599870048679288,0.0546690522434415,2.166168428749329,0.0949335338160498,-5.370202082607864,0.0781271388760682,,,151,15.843093,1.2656584,1.0,NGC_2099         ,5484.8965,87.88841362661,32.03070287559
117391,87.72446559839,32.00862839875,3445157851269028224,177.95391526264115,2.5590845719687008,0.7778895944181846,0.0558072815049451,2.45085187702114,0.1029894810872732,-5.60860188693733,0.0860854432442618,,,120,15.473923,1.1128464,0.7,NGC_2099         ,6088.012,87.7244531542,32.0086525469
117392,87.75674533032,32.12127031488,3445160771846519424,177.87090628082677,2.640079640276744,0.7010627351138439,0.0296688124220474,2.0331895959247226,0.0576107168863497,-5.770009908207623,0.0474390993789582,,,141,13.986562,0.9391012,1.0,NGC_2099         ,6435.5347,87.75673499408,32.12129515797
117393,87.78688759296,32.15253642083,3445161287243102592,177.85700965425136,2.677978659287608,0.6725562680014445,0.0495988323030574,1.94856095490884,0.0972223078249743,-5.825522797040768,0.0806076618084614,,,129,15.597352,1.0361767,1.0,NGC_2099         ,5958.5684,87.78687768356,32.15256150294
117394,87.73748367185,32.12535340392,3445163696723661696,177.85906074050908,2.628131467461184,0.5964248200651504,0.0595806058336143,2.006096489123556,0.1121167853219174,-5.505633072014627,0.09190097917121,,,151,16.157513,1.1646109,0.9,NGC_2099         ,6061.623,87.73747347289,32.12537710873
117395,87.74918579736,32.19023121328,3445164521357361152,177.80825773733767,2.6697468915731206,0.6653835127173515,0.0324134554353084,2.0252283950705383,0.0630863270154219,-5.601336793205681,0.0512104633054023,,,131,14.489326,0.8579445,1.0,NGC_2099         ,6384.9893,87.7491754938,32.19025533015
117396,87.72505988691,32.24418422643,3445165655228719232,177.75137834075434,2.6797132947095688,0.4987581986119792,0.0880921538761017,1.7282682675186989,0.1838882369346192,-6.072313906005921,0.1482465210949522,,,127,16.771343,1.3251534,0.7,NGC_2099         ,5175.458,87.72505108895,32.24421037111
117397,87.70160666346,32.24966196134,3445165689588459392,177.73652950156668,2.665449615110368,0.6311455474047674,0.0817911946327814,1.9915457998771384,0.1793666709012056,-5.384985255744305,0.1470164418864382,,,122,16.703415,1.2786264,1.0,NGC_2099         ,5610.79,87.70159652464,32.24968514669
117402,87.56730169551,32.14333324723,3445174794919190912,177.76989974424413,2.513425484972968,0.5755460304189703,0.1102561772763928,1.8434619810434951,0.1962352425155596,-5.626392369268981,0.1562768706186686,,,130,17.043701,1.2838688,1.0,NGC_2099         ,5665.252,87.56729232153,32.14335747198
117403,87.53181045096,32.144820249,3445174966717888384,177.7532320935881,2.4883658409615688,0.7223932228656444,0.0751150634665695,1.4076725953884364,0.1260283177045267,-5.8501459995064895,0.0988188485105775,,,120,16.189087,1.2044153,0.8,NGC_2099         ,5666.891,87.53180329285,32.14484543713
117404,87.49659997977,32.18314500212,3445176066228945408,177.70500627190998,2.4823769748103035,0.869422313026185,0.0389987572625091,1.9502107277134637,0.0627876098135757,-5.750223679976672,0.0505418421167438,,,139,14.546966,0.9921503,0.8,NGC_2099         ,6033.6787,87.49659005864,32.18316976003
117405,87.56920864129,32.2252618221,3445176371170131968,177.7002540082136,2.5567135577122646,0.6656065458873206,0.1567275737839603,2.1443308721379486,0.2712260003891392,-5.830573834435888,0.2271130174764874,,,132,17.673569,1.4381676,0.8,NGC_2099         ,4855.102,87.56919772759,32.22528692596
117406,87.67958743429,32.27148543566,3445177505040273024,177.70822814682543,2.6605777856024084,0.6577507327904639,0.0259718294170236,1.933666048612172,0.0588569191691876,-5.870694721441686,0.0470408254498455,,,122,13.448321,0.5808039,1.0,NGC_2099         ,8152.666,87.67957758776,32.27151071226
117408,87.58778552825,32.35671665986,3445181907384330240,177.59520243796695,2.637421762024563,0.6855266271787456,0.0939508562452022,2.248217598435423,0.1923739806541489,-5.848016975806339,0.1541051730871189,,,149,16.945234,1.26898,1.0,NGC_2099         ,5491.1875,87.58777406921,32.35674183882
117409,87.5531860335,32.34330234428,3445181976103828352,177.5917812865738,2.605443225609754,0.5348165457961259,0.1018607546911482,1.7403367458246508,0.1686700885642081,-5.366296611352825,0.1391389070403291,,,141,16.993618,1.2986603,0.7,NGC_2099         ,5285.409,87.55317716442,32.34332544917
117410,87.49648858045,32.31623079575,3445182246685783552,177.59052500549066,2.550429474347659,0.749641800948278,0.1377368134324734,2.182447566256246,0.2254361618564119,-5.260345411799801,0.188292947284438,,,158,17.497238,1.4291306,0.7,NGC_2099         ,4643.444,87.49647746161,32.31625344446
117411,87.5360587376,32.36869324096,3445182800737543296,177.56253265174752,2.605999110943434,0.5230096763166705,0.049655296658698,2.188782125161864,0.0862561435629519,-5.74461023852172,0.0701783473255172,,,149,15.615667,1.0819206,1.0,NGC_2099         ,6279.009,87.53604758002,32.3687179747
117413,87.47444342516,32.45228964158,3445230453399166720,177.46399023762936,2.604094307038894,0.6820341222454962,0.0849089337538521,2.278039742575296,0.150727279877435,-5.5563365180701965,0.122716051077845,,,141,16.701406,1.1874733,1.0,NGC_2099         ,5413.631,87.47443180181,32.45231356469
118282,88.62723976488,31.99293873928,3450917063113800832,178.35601838811084,3.2110771222947494,0.6545826884326259,0.0734664447140814,1.9794036046045544,0.1253946116482831,-5.83108114080539,0.1006253818316307,,,154,16.518764,1.2386684,1.0,NGC_2099         ,5751.5615,88.62722971618,31.99296384532
118283,88.62037975639,32.01137020876,3450917131833270784,178.33713471301803,3.2153302738334384,0.7083720078673948,0.0409000003932192,1.97534125433846,0.0713598060998904,-5.569106564742692,0.05660114375796,,,164,15.222079,0.9858141,1.0,NGC_2099         ,6335.3003,88.6203697263,32.01139418685
118288,88.3628849603,31.95618028371,3450957607605193088,178.2745120341087,2.998911079703803,0.6275917561948336,0.0340304443933596,1.7495968022716544,0.0658688552167921,-5.234569110050896,0.0506698796492752,,,118,12.988511,0.52361584,0.9,NGC_2099         ,6941.6816,88.36287608181,31.95620282144
118291,88.29311620459,32.00333281147,3450960940499818880,178.20380851908084,2.971703683444937,0.6498863209184819,0.0310944577900833,1.9970237136036364,0.0629746297064205,-5.685791898545094,0.049610673411738,,,137,14.393633,0.8328657,1.0,NGC_2099         ,6327.4697,88.29310606529,32.00335729197
118292,88.30066444785,32.02410950216,3450961176721370368,178.1891057014547,2.987736343959533,0.5588337655275857,0.0717989978788027,1.6595415500241384,0.1416764374858432,-5.4467659938815975,0.1124184305013504,,,136,16.579472,1.2430477,0.7,NGC_2099         ,5548.211,88.30065602011,32.02413295352
118293,88.18197898716,32.00743250016,3450961593334887424,178.15247995266418,2.892513765419543,0.6103366882519482,0.0434364174917376,1.8368399746150577,0.0780689727231245,-5.587792562921971,0.061819900555483,,,130,15.108843,1.079505,1.0,NGC_2099         ,5452.9053,88.18196966073,32.00745655871
118294,88.35028549624,31.98275998595,3450963757998354688,178.24613652819284,3.0031256168936515,0.6813896818844252,0.0429031121253041,1.8034358465081592,0.0845471890446935,-5.702683223948734,0.0664302363534215,,,120,15.203829,0.9753027,1.0,NGC_2099         ,6128.6763,88.35027634189,31.98278453917
118295,88.37538691419,32.04340840279,3450963994219944448,178.20450551747996,3.052145412164121,0.6943566355118074,0.1234513376916592,1.5541927892627738,0.233069148009511,-5.799520295787786,0.1941652054194912,,,130,17.633268,1.5381165,0.7,NGC_2099         ,4621.3833,88.37537901978,32.04343337295
118296,88.53855578057,32.05572687298,3450964754430662528,178.26375909324497,3.177756184253759,0.6615785584457948,0.0402150030334076,1.7750394986646811,0.0560824735606124,-5.558926066850352,0.0438984293363182,,,130,13.87046,0.7614126,1.0,NGC_2099         ,7026.994,88.53854676318,32.05575080725
