recno,RA_ICRS,DE_ICRS,GaiaDR2,GLON,GLAT,Plx,e_Plx,pmRA*,e_pmRA*,pmDE,e_pmDE,RV,e_RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,_RA.icrs,_DE.icrs
112107,71.22206389607,18.4858493902,3409481829979422976,180.7040462085524,-17.347682805289498,1.6280745653333908,0.039627456037143,-0.952332107378552,0.071071861821031,-1.5981627376600052,0.0357952209702336,,,277,14.275841,1.3378572,1.0,NGC_1647         ,6049.9395,71.22206821947,18.48585627118
112108,71.2295751954,18.48012725703,3409481829979423104,180.71334366483543,-17.34550712017362,1.6894066889674455,0.0345043574539281,-1.0959584354286385,0.0635336717152902,-1.4949589133457617,0.0318080337567192,,,313,13.932639,1.3120718,1.0,NGC_1647         ,6113.2314,71.22958017067,18.48013369366
112109,71.25707788654,18.50819586745,3409483440591180288,180.70661254466867,-17.30773350408931,1.5227596361281237,0.13926489187111,-1.073462726528127,0.2598411465325658,-1.6742560891324647,0.1346260349021985,,,304,17.356024,2.3855534,1.0,NGC_1647         ,3930.2559,71.25708276048,18.50820307606
112110,71.14886939061,18.62374206306,3409488152171270656,180.54518779466173,-17.318815355602112,1.6209256259062923,0.0539784099411052,-0.6285914980367786,0.105205826800738,-1.4700606107812697,0.0515011850736793,,,306,15.538521,1.5592937,1.0,NGC_1647         ,5157.151,71.14887224659,18.62374839249
112111,71.21888467278,18.63286750663,3409488392689429888,180.57991640037207,-17.260628710851595,1.6150974403341911,0.089303902006626,-0.8971255390272829,0.2097849102652266,-1.8123247353723,0.097665712863318,,,309,16.689896,1.8919764,1.0,NGC_1647         ,4564.0483,71.21888874906,18.63287530969
112114,71.00612726487,18.52530576993,3409491721288133888,180.54055787127209,-17.48608185971211,1.5560224500552131,0.1739312752546496,-1.296243729843766,0.3265244693000321,-1.696368618751148,0.1614920314994528,,,330,17.882761,2.346552,1.0,NGC_1647         ,3922.2104,71.00613315091,18.52531307374
112115,70.90224173552,18.56237236942,3409492996894416512,180.4467442859666,-17.54149508333679,1.5861297618612715,0.0453052307478972,-0.7167631651546609,0.080677109807389,-1.0026948604793926,0.0424399899127039,,,360,14.970354,1.4590073,0.8,NGC_1647         ,5426.2944,70.90224499094,18.56237668658
112118,71.04341034922,18.60818797082,3409498460092794240,180.49429044034264,-17.407530505345843,1.743417140971848,0.0356441658809211,-1.3286656015248564,0.0677156126464307,-1.8885487371208391,0.0334862520006869,,,307,14.256515,1.2827425,1.0,NGC_1647         ,6044.239,71.04341638542,18.60819610207
112119,71.16629512856,18.7036739874,3409500796554976512,180.48933410383748,-17.257029118095385,1.699814487314225,0.0653381822158295,-1.263531311452817,0.1549469610569919,-1.6087610720125427,0.0664457113058109,,,297,15.943912,1.6580038,1.0,NGC_1647         ,4579.1094,71.16630087208,18.70368091401
112120,71.06819704952,18.67184589503,3409501002713422336,180.45643307532552,-17.350096817337867,1.5506414585326895,0.0449145620002575,-1.075378351748697,0.0894442202987021,-1.844878697330116,0.0440719758401144,,,289,15.02488,1.5740461,1.0,NGC_1647         ,5864.6167,71.06820193685,18.67185383826
