recno,RA_ICRS,DE_ICRS,GaiaDR2,GLON,GLAT,Plx,e_Plx,pmRA*,e_pmRA*,pmDE,e_pmDE,RV,e_RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,_RA.icrs,_DE.icrs
90938,105.92859711145,-8.94816313043,3049972382747698432,222.28931171617447,-1.366836623060406,0.9920199919044708,0.040981630892444,-0.8891375297833223,0.0608953936143516,-0.5435968560854256,0.0587385522459147,,,180,15.003326,1.0068693,0.9,NGC_2323         ,5791.411,105.92860098685,-8.94816078995
90943,105.56245741173,-8.92943300508,3049981384999331456,222.10709264418983,-1.679873856367525,0.924345123010155,0.0375947119433561,-0.3556704061281072,0.0461313780876581,-0.4644178681935772,0.0443827586330841,,,169,13.452269,0.7065983,0.8,NGC_2323         ,6636.3413,105.56245896188,-8.9294310055
90944,105.58193778095,-8.91269499207,3049982896827798656,222.10100237522704,-1.6551057294136269,0.9598654975146494,0.0629731769466398,-0.5070385199475929,0.0722121412554904,-0.832811447659071,0.0691308530852501,,,176,15.081015,1.0370331,0.7,NGC_2323         ,5833.8354,105.58193999072,-8.91269140636
90945,105.60376024589,-8.90426305222,3049982999906998144,222.10336229137536,-1.6320767707167518,1.0105244990663156,0.0959962289796861,-0.8889680819047105,0.1225274070258634,-0.7257837850015187,0.1329975184024713,,,156,16.4893,1.3616371,0.8,NGC_2323         ,4486.0923,105.60376412008,-8.90425992732
90946,105.64408464707,-8.89405973304,3049983240425139456,222.1125110546816,-1.5919816523325951,1.0574669877373075,0.1124423028145123,-0.5367823877530156,0.1494706228222652,-0.428531373861001,0.1638708215419927,,,156,16.898157,1.4727249,1.0,NGC_2323         ,4538.317,105.64408698635,-8.89405788798
90947,105.63940872044,-8.87666678925,3049983442283125888,222.09492414177933,-1.588135120839092,0.945936073677138,0.061717075473232,-0.1958366490636611,0.0848982596667057,-0.5508817286789961,0.0946574428231921,,,156,15.681777,1.1237755,0.8,NGC_2323         ,5740.753,105.63940957385,-8.8766644174
90949,105.88714294868,-8.83894630163,3049987157435143424,222.17343199097604,-1.353229851260927,0.978717371991754,0.0357592114801954,-0.8016528483351277,0.0587527207294396,-0.7624327274567853,0.0612645164449771,,,177,12.724996,0.47458458,1.0,NGC_2323         ,7061.5986,105.88714644172,-8.83894301894
90950,105.87588866339,-8.79167998624,3049987874688163200,222.12630676167063,-1.341472748654227,1.0465712722664025,0.0255021163623977,-0.7289342600127395,0.0395657588247856,-0.8124699415521108,0.0421227805081479,,,173,13.267349,0.74028015,1.0,NGC_2323         ,6475.223,105.87589183917,-8.7916764881
90951,105.80230240727,-8.83366276999,3049988871121940608,222.1303408215429,-1.4253424669584944,1.071552919072474,0.0477250259208389,-0.5361484466490414,0.0783924872469173,-0.9518079468037188,0.0796481759991743,,,181,15.765055,1.1428299,0.7,NGC_2323         ,5174.7734,105.8023047434,-8.83365867193
90952,105.66655749893,-8.8545702626,3049989459537742464,222.0875409957817,-1.5541743187467802,0.959063404207734,0.0340835375143395,-1.0794247368505665,0.0470979168602697,-0.7491354630605501,0.0526573920359748,,,148,13.138348,0.6385336,1.0,NGC_2323         ,6458.578,105.66656220251,-8.85456703715
