source_id,ra,dec,l,b,phot_g_mean_mag,bp_rp,parallax,parallax_error,priam_flags,flame_flags,a_g_val,e_bp_min_rp_val,teff_val,radius_val,radius_percentile_lower,radius_percentile_upper,original_ext_source_id,j_m,h_m,ks_m,diff_min
5931803010799172736,243.7375959895471,-54.407129737841736,329.8022285625604,-2.5192452842064075,12.738191,0.39725113,0.3748067660585808,0.0450336394198121,100001.0,,1.172,0.589,8074.0,,,,16145702-5424256,12.136,12.091,12.082,1.8886907271898233e-05
5932179073701843584,243.79054801073343,-54.32482811479806,329.8814944165159,-2.481111723552361,12.107415,0.6203718,0.3768779395772934,0.0506325207363866,100001.0,200111.0,,,6720.697,6.333094,6.0112762,7.1996665,16150974-5419294,11.186,11.057,10.85,1.7748926802724837e-05
5932181002273482112,243.8954127974685,-54.25564405447511,329.9736428123701,-2.473540840172646,14.340327,0.929389,0.3050300052354516,0.0319686008958588,100001.0,200111.0,,,5353.7,4.5431194,4.3472176,5.1243243,16153490-5415203,13.052,12.805,12.81,1.8230706288223636e-05
5932537003536998272,243.0545034942701,-54.49839556440303,329.4508407416842,-2.312392503075184,12.734903,0.4134779,0.5009522912888534,0.0357652382807008,100001.0,200111.0,1.1852,0.5883,7681.75,2.773628,2.5733993,3.0679412,16121308-5429543,12.089,11.988,11.959,1.8202355263729723e-05
5932540744313274368,242.8727503899966,-54.4788346666315,329.38707849839113,-2.2259677693490523,16.7685,1.2525196,0.5311861914334292,0.0726601092077953,100001.0,200111.0,0.9603,0.4803,4995.01,1.0100036,0.95791465,1.0793347,16112947-5428437,15.306,14.786,14.761,1.8458589441697734e-05
5932540989267221248,242.9334220074657,-54.45456183877041,329.4294465136023,-2.232305543168833,16.841446,1.2042656,0.3615229688069226,0.0732487331307663,100001.0,,,,4890.6665,,,,16114402-5427163,15.316,14.916,14.11,1.9357106360938436e-05
5932541057986701440,242.97326863945412,-54.43712951520076,329.4582973371217,-2.235406482787885,16.16548,1.0954895,0.4460330930196783,0.0555236957353539,100001.0,200111.0,,,4979.02,1.6008625,1.5358114,1.6604395,16115358-5426135,14.789,14.487,14.484,1.7687195595443137e-05
5932541126706230400,242.9406324760862,-54.4169243383563,329.45823962108034,-2.2076809681003686,16.476357,1.1433754,0.4191239461769847,0.0655747110327121,100001.0,,1.0515,0.5205,4923.41,,,,16114575-5425009,15.13,14.674,14.656,1.8103549949463088e-05
5932541401584187776,242.90486630200425,-54.39833786029014,329.45572391354256,-2.179887772674688,17.204481,1.272335,0.5466552525078044,0.0815059609643937,,,,,,,,,16113717-5423541,15.521,14.825,14.691,1.7384378453916356e-05
5932542226217962112,242.85516051793215,-54.38116296598853,329.4462839982333,-2.1475823928202917,16.754156,1.2022362,0.4086350625130369,0.0655028528544482,100001.0,,1.115,0.5288,4904.6924,,,,16112524-5422521,14.997,13.849,13.572,1.9811212276378347e-05
5932542466736156416,242.8182539686474,-54.36697493685976,329.44023418687425,-2.1225443599133347,14.3035145,0.5721121,0.5121445790826991,0.0282720552947564,100001.0,200111.0,0.9143,0.479,7210.0,1.4790006,1.4105002,1.5759308,16111638-5422011,13.405,13.214,13.127,1.6704316922315107e-05
5932547895575781504,243.3163042202916,-54.51537288544876,329.5499406294077,-2.428964737200113,15.30745,1.0593004,0.4296192285803193,0.0369985011865498,100001.0,200111.0,1.9547,0.983,5108.0977,2.3137043,2.151339,2.398168,16131592-5430550,13.797,13.296,13.339,1.8298781131363158e-05
5932549098166761856,243.22485131043487,-54.45696338614264,329.55140633790904,-2.3500230942218643,15.252883,0.92352295,0.4548674146102347,0.0360966230069866,100001.0,200111.0,,,5316.7,2.034189,1.9789935,2.22064,16125394-5427250,13.932,10.945,10.517,1.8673201322481125e-05
5932549098166769024,243.2105432127592,-54.44710751159293,329.55211386575706,-2.3371453616396933,15.673498,0.9902096,0.5026874667579707,0.0443016415474395,100001.0,200111.0,1.011,0.472,5236.4927,1.5724951,1.5122669,1.640697,16125052-5426494,14.299,14.169,14.052,1.839967970036616e-05
5932549162453285632,243.3740783490759,-54.50655213222692,329.58039559477515,-2.445606563800623,13.3922825,0.42505074,0.4572459659091547,0.0230211341857384,100001.0,200111.0,0.919,0.4695,7910.0,2.1373193,1.9854251,2.340884,16132978-5430235,12.707,12.58,12.524,1.793368856425599e-05
5932549269965573120,243.39574323879648,-54.49415407876734,329.59807135792187,-2.44525533597744,14.06113,0.55778885,0.4194660510578393,0.0256931038521794,100001.0,200111.0,,,7125.0,2.065102,1.9710554,2.1434932,16133497-5429389,13.248,13.165,13.125,1.7810942892333493e-05
5932549647922789632,243.34641807858816,-54.44931231134471,329.60809173364834,-2.3929855879813977,16.74167,1.2361088,0.3587654888132417,0.0688827508905243,100001.0,,,,4898.2974,,,,16132313-5426575,15.21,14.79,14.794,0.0013853527759935575
5932549785361722880,243.38214006213576,-54.44751473807128,329.62442678605885,-2.40595707459564,14.192333,0.76275635,0.4480106078612008,0.0258393084227307,100001.0,200111.0,,,5961.0,2.6070633,2.2873335,2.9759822,16133171-5426510,13.111,12.951,12.884,1.700150144326306e-05
5932550060239706624,243.34480240423537,-54.41805232317764,329.6289086538674,-2.3696302044067603,15.880071,4.6318455,-0.2375048604693793,0.1470285957121503,112201.0,,,,3385.75,,,,16132274-5425047,8.724,7.448,6.695,0.0012918921735073363
