source_id,ra,dec,l,b,phot_g_mean_mag,bp_rp,parallax,parallax_error,priam_flags,flame_flags,a_g_val,e_bp_min_rp_val,teff_val,radius_val,radius_percentile_lower,radius_percentile_upper,original_ext_source_id,j_m,h_m,ks_m,diff_min
4054135354297425920,265.67018989683544,-32.716322582549275,356.44869440417915,-1.4416204402671158,18.527628,,-0.4068550409290948,0.4115234562140997,,,,,,,,,17424084-3242587,12.75,11.298,10.68,0.000500858134891258
4054136045839191296,265.5398023063747,-32.71759579505812,356.38983877108365,-1.3490237148496584,12.113923,0.77867603,2.150635435060285,0.0538322444935963,100001.0,200111.0,,,5926.6665,1.431839,1.2055892,1.6634343,17420955-3243033,11.094,10.795,10.704,2.6796439321523607e-05
4054141749556377600,265.15516105479963,-32.81667101137111,356.1347371651582,-1.1268070723276606,14.962554,1.4636803,2.25676462855313,0.0642575105470043,100001.0,200111.0,0.494,0.2325,4415.5,0.76658744,0.7165714,0.7869498,17403724-3248599,13.086,12.536,12.502,2.75826976049989e-05
4054142917787512832,265.1603892646545,-32.78854662890609,356.16092098537945,-1.1156283939911886,13.557357,1.0857878,2.105049777831009,0.0350436815975227,100001.0,200111.0,0.538,0.2795,4998.9077,1.116028,1.0595068,1.154152,17403848-3247185,12.083,11.591,11.557,2.5852534510359922e-05
4054143394483087104,265.16118830761235,-32.73433505843815,356.2072581642274,-1.0874680439753328,19.401981,3.238102,,,,,,,,,,,17403868-3244034,13.996,12.492,11.952,0.0015612627548808756
4054144493987952384,265.28901180535445,-32.694012151753626,356.2984259462689,-1.157354251464454,16.53447,2.108739,2.139363033254655,0.1077909090080956,100001.0,200111.0,1.633,0.8115,3661.0,0.7168211,0.52264404,0.74576634,17410937-3241383,14.167,11.678,11.034,2.731970641460784e-05
4054145700926773760,265.4451375701546,-32.77265482500913,356.3010456027456,-1.310409818064025,15.764114,2.1132526,2.155099422822789,0.075306477950409,100001.0,200111.0,,,3655.6667,1.019512,0.7605694,1.064253,17414684-3246214,13.285,11.403,10.933,0.0017882472096128667
4054145700926773760,265.4451375701546,-32.77265482500913,356.3010456027456,-1.310409818064025,15.764114,2.1132526,2.155099422822789,0.075306477950409,100001.0,200111.0,,,3655.6667,1.019512,0.7605694,1.064253,17414684-3246214,13.285,11.403,10.933,2.8831909836036077e-05
4054146319402103680,265.4662181252662,-32.720162167633205,356.35500554621257,-1.2977735747503398,15.440035,1.6409149,2.280187576305497,0.0521945870838887,100001.0,200111.0,0.746,0.3235,4413.3335,0.60983825,0.5301044,0.6614038,17415190-3243126,13.595,12.859,12.744,2.4830009135406764e-05
4054148621504595072,265.57582212963104,-32.61540561992708,356.49269894353336,-1.320955765302158,11.241912,0.53431034,2.1968199848308134,0.053197065213527,100001.0,200111.0,0.755,0.3362,7003.185,1.4931245,1.4240583,1.5786562,17421819-3236552,10.524,10.389,10.318,2.6261375360582722e-05
