source_id,ra,dec,l,b,phot_g_mean_mag,bp_rp,parallax,parallax_error,priam_flags,flame_flags,a_g_val,e_bp_min_rp_val,teff_val,radius_val,radius_percentile_lower,radius_percentile_upper,original_ext_source_id,j_m,h_m,ks_m,diff_min
5338609168900342528,166.63336512300623,-59.3092111993322,289.8948139445764,0.8809983665067574,10.283631,0.22046947,2.0573449670062014,0.0671176327388423,100001.0,,0.447,0.2293,8286.0,,,,11063203-5918331,9.945,9.889,9.861,9.356951715710319e-05
5338609821735286528,166.4739256333925,-59.29000795933713,289.8124283709061,0.8665352144568226,17.152649,2.031145,2.0358708806233774,0.0882304013739522,,,,,,,,,11055375-5917241,14.757,13.945,13.786,9.18915146673577e-05
5338610715088795264,166.72569785974864,-59.24858091692,289.9143862858935,0.9552814152958164,12.905319,0.7908621,2.0860119115589435,0.0283877941699703,100001.0,200111.0,0.056,0.0255,5886.0,1.0405419,0.955899,1.0636663,11065418-5914549,11.908,11.608,11.527,8.485544891262143e-05
5338610852527682944,166.66772735444016,-59.25416421896946,289.88931347641835,0.9385137936414129,14.699134,1.2105103,2.0392242718613605,0.02819397460338,100002.0,200111.0,0.114,0.048,4900.0073,0.7168615,0.6755789,0.7269165,11064027-5915149,13.207,12.716,12.589,8.584256921884267e-05
5338611127405702784,166.725137755706,-59.23165125316878,289.9074841546399,0.9707432914942454,17.344147,2.1876888,2.1958380158297817,0.0956631851730591,,,,,,,,,11065404-5913540,14.839,14.145,13.935,8.95788170885377e-05
5338611505362958208,166.6797201560246,-59.19435018710937,289.8714596959724,0.9959307595838308,10.649011,0.29089642,2.118218421109293,0.0378701317631583,100001.0,200111.0,0.416,0.197,7881.5747,1.6414928,1.5187038,1.7515234,11064315-5911397,10.244,10.238,10.176,9.029435800828605e-05
5338611574082373120,166.65690333069492,-59.17818807148392,289.8543593425109,1.0062014895032176,14.90782,1.2908344,2.104218698411872,0.0287839347182418,100001.0,200111.0,,,4834.21,0.6538664,0.60257107,0.6850475,11063768-5910415,13.325,12.827,12.692,9.167218642661748e-05
5338611952039309568,166.5262501351947,-59.20509864714349,289.8034476852771,0.9551060437730886,13.734482,2.0655432,0.1237953850768147,0.0234827858302111,100001.0,,1.342,0.6637,3826.23,,,,11060630-5912182,11.107,10.269,10.007,0.0015108882760673063
5338611986399023744,166.5110745976746,-59.20885423302527,289.7977928357589,0.9485874295671448,15.940357,1.6411724,2.1039561683325467,0.0411749629778834,100001.0,200111.0,0.3103,0.1485,4227.25,0.59870976,0.5612608,0.63841623,11060267-5912318,13.975,13.275,13.138,8.583146540986521e-05
5338611986399032960,166.5128673129691,-59.20623250536474,289.7976002090638,0.9513584610973173,10.328431,0.21300983,1.9905169713270805,0.036072073157556,100001.0,,0.4457,0.247,8227.75,,,,11060310-5912224,10.032,9.993,9.907,9.226344630735119e-05
5338612192557581952,166.61535841739695,-59.197359766258266,289.8423329044471,0.9802050070301916,15.2172575,1.4397249,2.046602497726366,0.0422032854621975,100001.0,200111.0,,,4391.61,0.7640061,0.7099618,0.7866287,11062772-5911506,13.432,12.753,12.618,9.231784315606424e-05
