source_id,ra,dec,l,b,phot_g_mean_mag,bp_rp,parallax,parallax_error,priam_flags,flame_flags,a_g_val,e_bp_min_rp_val,teff_val,radius_val,radius_percentile_lower,radius_percentile_upper,original_ext_source_id,j_m,h_m,ks_m,diff_min
3312882483575093760,67.79636319390852,16.39576593419968,180.3143392062142,-21.20936458823071,13.815214,2.7509222,20.22976698400599,0.0708293084792333,100002.0,,0.4267,0.2563,3928.615,,,,04311101+1623452,10.895,10.281,10.037,0.000455654189967093
3312904233289409152,67.25110102693226,16.34621764672938,180.0041241065612,-21.64840758849145,13.095269,2.6458483,21.373687684898734,0.0824885892151895,100001.0,,0.858,0.4703,4019.14,,,,04290015+1620467,10.266,9.625,9.374,0.00048510712711326195
3312921378798754304,67.04581034723728,16.470801783690373,179.76662736533942,-21.72323687510165,10.502086,1.6747475,23.635456140725697,0.0661673969203941,100002.0,200111.0,0.649,0.3097,4191.0,0.67009103,0.62443644,0.7296083,04281085+1628155,8.56,7.994,7.758,0.0005318642288592262
3312951748510907648,67.49101308172906,16.67271860422926,179.88605876288213,-21.26443073879443,8.853477,1.0292883,21.89653153588919,0.0391479312896272,100001.0,200111.0,0.119,0.0467,5164.0,0.8633526,0.81593484,0.9022237,04295771+1640222,7.619,7.211,7.139,0.0004945868694479716
3312960205303089664,67.48274178738423,16.913916124845805,179.67937777409105,-21.119158471956556,11.971117,2.1965075,22.821325099326067,0.0481851680939278,100001.0,,0.428,0.1985,3834.2476,,,,04295572+1654506,9.524,8.901,8.653,0.000512232114501326
3313714023603261568,67.1646711766005,16.969909718210697,179.4272067979422,-21.32028999923341,14.074879,-0.37547112,20.89519415434072,0.0566559665740614,102111.0,,,,8868.667,,,,04283939+1658121,14.632,14.649,14.675,0.0004765466258799516
3314109916508904064,67.2017334200264,17.285345827845028,179.1888117945184,-21.09366458278013,7.685845,0.7737613,21.431024534860214,0.0470493989663562,100001.0,200111.0,0.0753,0.043,5903.5,1.1134404,1.0942651,1.1195004,04284827+1717079,6.696,6.462,6.404,0.0005055093827271281
