source_id,ra,dec,l,b,phot_g_mean_mag,bp_rp,parallax,parallax_error,priam_flags,flame_flags,a_g_val,e_bp_min_rp_val,teff_val,radius_val,radius_percentile_lower,radius_percentile_upper,original_ext_source_id,j_m,h_m,ks_m,diff_min
5943623855883939328,249.7532889749734,-43.52807872605896,340.3612613077329,2.200891791643352,17.701654,2.1194286,0.5350425324174259,0.1520205536810078,,,,,,,,,16390076-4331409,14.899,14.362,14.091,1.1791690906356813e-05
5943624375609024256,249.77219230614745,-43.49600034287662,340.39434828638696,2.2120201769225827,16.862076,1.6803694,0.6610326495116757,0.1069809613845006,100001.0,,,,4259.5,,,,16390532-4329457,14.756,14.372,14.326,9.952100416384093e-06
5943624405639783936,249.7668166715686,-43.4760301368143,340.4066629333853,2.2282250569089634,16.010937,2.064208,0.5778149338514272,0.0829706303739964,100001.0,200111.0,,,4042.4668,2.4371896,1.7136227,2.9788668,16390402-4328338,13.266,12.793,12.581,1.149828325817091e-05
5967583519919616768,250.3885443858468,-43.56663491412817,340.6378190528159,1.830624433884678,16.204327,1.4957066,0.4791082776845171,0.0648671576406728,100001.0,200111.0,,,4437.705,2.0082083,1.8230964,2.0642989,16413324-4333597,14.221,13.817,13.728,1.0321049167690464e-05
5967585448375774464,250.3848819872859,-43.48992559777426,340.6937221092613,1.8832504744597676,11.030853,1.765441,0.6719117683519824,0.0595988590946607,100001.0,200111.0,0.721,0.3505,4163.36,18.870138,18.533817,19.60585,16413237-4329235,8.791,8.221,8.018,9.280784864240138e-06
5967609878151186816,250.46719882796776,-43.38251240591713,340.813946485455,1.909181034799256,14.333885,1.1273232,0.5826592552295546,0.03097741911556,100001.0,200111.0,,,4956.1333,2.8823552,2.0042703,3.00204,16415211-4322570,12.755,12.496,12.396,8.92479455450224e-06
5967611561778699008,250.50150266141893,-43.31995959295252,340.87746669494595,1.931648540429497,16.119762,1.8279276,0.4603001693669024,0.0652182611145293,100001.0,,,,3966.25,,,,16420034-4319118,13.718,13.146,12.941,1.0447243665255113e-05
5967625644962276224,250.21012010721063,-43.52763039990209,340.5815981211376,1.9534597643088525,19.047268,3.264286,-0.3222758969076572,0.4083089811202532,,,,,,,,,16405044-4331394,15.216,14.206,13.928,0.0021359158092524736
5967627058022708096,250.01385511943903,-43.60919181158235,340.4261943398265,2.0059264960546126,15.246172,1.4326181,0.5496776763030872,0.048486372810297,100001.0,200111.0,2.9332,1.4812,4418.375,2.7566195,2.607836,2.7984865,16400331-4336329,13.311,12.981,12.799,1.0431591217481065e-05
5967627328584864512,249.9818752515525,-43.57582732636912,340.43578705741714,2.045394871915315,16.974642,1.9469824,0.4947750296830385,0.1134444085695517,100001.0,,2.6413,1.416,3789.75,,,,16395564-4334330,14.522,14.041,13.77,1.0574935585624514e-05
5967628260600533760,250.1068217205797,-43.55233002944711,340.51346644210514,1.9932180167041444,18.060663,3.0265312,0.1733910917417139,0.1889948038482413,,,,,,,,,16402565-4333085,13.208,12.737,12.253,0.0008109967584715875
