source_id,ra,dec,l,b,phot_g_mean_mag,bp_rp,parallax,parallax_error,priam_flags,flame_flags,a_g_val,e_bp_min_rp_val,teff_val,radius_val,radius_percentile_lower,radius_percentile_upper,original_ext_source_id,j_m,h_m,ks_m,diff_min
5537731652365274112,118.12268495504156,-38.93628683105878,253.9480255587792,-5.988123398805142,11.855866,1.441761,0.6465315690811807,0.0290605449710584,100002.0,200111.0,0.4337,0.212,4735.9624,9.1686125,8.807776,9.893176,07522944-3856105,9.996,9.458,9.307,1.3433186478691755e-05
5537731789804477568,118.14119648450452,-38.9054272321405,253.9285503935375,-5.960113296818644,15.385109,1.0584459,0.6653104965823211,0.0321329357584796,100001.0,200111.0,0.886,0.4485,5136.607,1.421915,1.327257,1.4892412,07523388-3854194,13.992,13.701,13.613,1.3996732526416376e-05
5537732030322646272,118.12115676989268,-38.89563106728916,253.91213237776373,-5.9686308352430775,13.781722,0.7949457,0.6298694696738174,0.0227475358880023,100001.0,200111.0,,,5813.3335,2.3641298,2.3076847,2.384145,07522907-3853441,12.717,12.524,12.419,1.3512707145496157e-05
5537732988095084800,118.21523860419704,-38.87356743634329,253.93018209842248,-5.894281859261597,16.679098,1.3525925,0.6973560590079791,0.0567288438701499,100001.0,200111.0,0.9227,0.445,4707.9697,0.93716496,0.80334383,1.0338917,07525166-3852248,14.848,14.493,14.287,1.315204076774828e-05
5537733056812039808,118.26580839303686,-38.86233752062815,253.94046435037757,-5.854636503082621,16.965334,1.4813824,0.6083553142898097,0.0648241384878855,100001.0,200111.0,1.2655,0.6197,4351.0,1.1816679,1.1202427,1.2058004,07530380-3851443,15.046,14.518,14.26,1.2819691109449473e-05
5537733713949560192,118.17471847761192,-38.84286985006807,253.8875203403433,-5.90599268367026,14.112386,0.9389477,0.7012103742092075,0.0197744646349453,100001.0,200111.0,,,5230.0,2.3203728,2.1717463,2.6320262,07524193-3850343,12.806,12.599,12.529,1.3704847506160352e-05
5537734225039460992,118.2011457408228,-38.79807674289219,253.85912612994727,-5.865587099330941,15.163915,1.2527447,0.6712786250177218,0.0261574684925589,100002.0,200111.0,,,4907.27,1.7513304,1.659972,1.83278,07524827-3847532,13.511,13.178,13.057,1.4403984605781441e-05
5537734985259865216,118.10379968718068,-38.89479510295804,253.90455225463853,-5.979871587319924,14.804384,0.9780102,0.629719281368729,0.0272411840737281,100001.0,200111.0,,,5349.0,1.780875,1.7692791,1.8835063,07522491-3853410,13.496,13.226,13.162,1.4109524619506658e-05
5537735122698785792,118.0642140951328,-38.880891167302295,253.87685347037024,-5.999463941685911,15.262139,1.024867,0.6831772476847847,0.0294877675827524,100001.0,200111.0,0.549,0.2747,5224.5,1.406121,1.3322785,1.4686912,07521541-3852511,13.911,13.587,13.552,1.4458826670151537e-05
5537735221475009408,118.0573026169008,-38.85777271122177,253.8540509629777,-5.992454037111129,15.497115,1.1221619,0.64916334522932,0.0389392252549548,100001.0,200111.0,0.948,0.489,4938.525,1.5280554,1.1115496,1.5988182,07521375-3851278,14.052,13.718,13.599,1.4472176640045166e-05
5537735668154651648,117.98019416243118,-38.882285574114775,253.8449260004336,-6.056662036241159,13.120678,0.76505375,0.6647020861028097,0.0213354816171359,100001.0,200111.0,,,5496.57,3.4399226,2.7167735,4.7004876,07515524-3852562,12.029,11.838,11.763,1.3698908925161398e-05
5537736187850635392,118.05897560321104,-38.80781586280459,253.8113351497132,-5.966137807187588,16.167814,1.4706221,0.676708439145826,0.0473050988120256,100001.0,200111.0,,,4435.0,1.4485219,1.4128697,1.4795378,07521415-3848280,14.3,13.832,13.611,1.5023585328004219e-05
5537736531437550080,118.13855672892768,-38.84243813661208,253.87284297373915,-5.930082893280687,15.418113,1.3311749,,,130001.0,,,,4727.64,,,,07523322-3850321,13.361,12.918,12.74,0.0007730705420781593
5537736737606504832,118.15095874460012,-38.8084566326804,253.84826195185627,-5.904582102302037,15.783623,1.2565861,0.7154207750872729,0.0364756851504323,100001.0,200111.0,0.877,0.441,4907.27,1.2352865,1.18509,1.3136911,07523623-3848305,14.12,13.733,13.498,1.3478905794980163e-05
5537736737606510592,118.1539963191282,-38.81429632054617,253.8545307378214,-5.905489031809571,14.969067,1.137929,0.6572816289996033,0.02995149969994,100001.0,200111.0,,,4931.87,1.9313571,1.6972635,1.9971118,07523696-3848515,13.468,13.222,13.031,1.297827417113517e-05
