source_id,ra,dec,l,b,phot_g_mean_mag,bp_rp,parallax,parallax_error,priam_flags,flame_flags,a_g_val,e_bp_min_rp_val,teff_val,radius_val,radius_percentile_lower,radius_percentile_upper,original_ext_source_id,j_m,h_m,ks_m,diff_min
4040537732755028352,268.9825686163035,-35.361875269057634,355.58000888643227,-5.1534009518214585,17.211266,2.3654318,3.579549854236949,0.1465025330661428,,,,,,,,,17555580-3521427,14.237,13.65,13.368,2.697619765441734e-05
4040561544062678656,268.96052674699223,-35.32292448815737,355.6049517802005,-5.118425631333702,14.191678,1.5145149,3.757010048798162,0.0381544215335476,100001.0,200111.0,,,4360.5,0.68183523,0.6186729,0.70805573,17555053-3519223,12.192,11.56,11.361,2.8269814001268178e-05
4040561544062706432,268.946733195462,-35.3190607755978,355.6026927446248,-5.106741040598861,9.495433,0.32785606,3.649274495059703,0.0706819828333469,100002.0,200111.0,0.477,0.232,7645.2007,1.7066631,1.5983483,1.778282,17554721-3519085,9.043,8.99,8.968,2.4996463370447758e-05
4040561608376712960,268.99640109859445,-35.30651262368111,355.6338674037621,-5.135654282699908,16.986778,1.3032761,0.7651052893288514,0.1247229307243706,102001.0,,,,4987.0,,,,17555912-3518233,15.218,14.629,13.88,0.0020919885253501886
4040642736080671616,268.2280514942855,-35.40993927775343,355.2292544984173,-4.64490387995185,11.443004,0.7923708,3.69992563504572,0.0455892271650764,100001.0,200111.0,0.2115,0.1107,5948.0,1.1249363,0.88684773,1.1676279,17525472-3524356,10.413,10.18,10.09,3.06107512075762e-05
4040691488183049344,268.15497995569257,-35.314020577437354,355.2822474504783,-4.545097971546174,12.989861,1.1097231,3.5673630588803533,0.0366774383859427,100001.0,200111.0,0.266,0.13,5024.0,0.84446687,0.66534823,0.88873804,17523721-3518502,11.496,11.084,10.818,2.7855357752635042e-05
4040691488183049344,268.15497995569257,-35.314020577437354,355.2822474504783,-4.545097971546174,12.989861,1.1097231,3.5673630588803533,0.0366774383859427,100001.0,200111.0,0.266,0.13,5024.0,0.84446687,0.66534823,0.88873804,17523721-3518502,11.496,11.084,10.818,0.0009034744814346835
4040692106660958848,267.9659268048839,-35.38944208732547,355.1388404536842,-4.450096444068934,17.118616,2.2548714,3.537495080082485,0.1961243026283043,,,,,,,,,17515181-3523221,14.248,13.574,13.276,3.1771449181341066e-05
4040692351564407680,267.9649912081467,-35.36537816404336,355.15927554685675,-4.437268033271845,7.270408,0.06949282,3.2707646250328937,0.0930533522613089,100001.0,,0.582,0.29,8860.667,,,,17515159-3521553,7.147,7.141,7.138,3.034405266179912e-05
4040694722386654592,268.0622393434019,-35.24767270930088,355.3013781567108,-4.446255400743486,10.599369,0.63486004,3.5731327259349275,0.0526351844583698,100001.0,200111.0,0.4687,0.237,6476.6133,1.4404608,1.3357385,1.479395,17521493-3514514,9.791,9.579,9.516,2.5786244856187497e-05
4040707023179614976,267.91180619600254,-35.18794108724924,355.2907231255012,-4.310023655262034,11.641846,0.79601955,3.3980588839040964,0.0631654718768989,100001.0,200111.0,0.246,0.116,5881.3335,1.1449302,1.1220483,1.1795021,17513882-3511164,10.607,10.346,10.3,2.8677674680383183e-05
4040708431928693376,268.0326023603817,-35.112376322630496,355.4062029465423,-4.356989587340309,12.209382,0.94710636,3.610536123632246,0.0899120275672402,100001.0,200111.0,0.2147,0.092,5305.5,1.0460957,1.0128014,1.0952554,17520781-3506444,10.977,10.633,10.545,3.062417605860667e-05
4040708603727816704,267.92233876735173,-35.1503525906767,355.32760031963085,-4.298415109848,15.7194,2.027131,3.603738310549692,0.0872174642066928,100001.0,,0.459,0.2842,3914.0098,,,,17514135-3509011,13.357,12.625,12.451,2.3989161101388032e-05
4040709217806453632,267.9984803475025,-35.10596348446501,355.3975976270121,-4.329664205403757,12.4369955,0.9631052,3.6527508395303214,0.0469836301432183,100001.0,200111.0,0.0355,0.019,5370.0,0.9050069,0.7743106,0.9171495,17515963-3506213,11.222,10.843,10.776,2.8782351487556132e-05
4040709355245406848,267.95617156833805,-35.102184189775215,355.3833054331905,-4.2978955952026014,9.366785,0.25631905,3.6844189988760414,0.0527619965263645,100001.0,,0.46,0.2405,8095.6665,,,,17514947-3506077,9.061,8.923,8.913,2.9575788711766393e-05
4040712104024476416,267.8618694321314,-35.10394044319332,355.3426029342753,-4.232262271083574,10.834721,0.6660013,3.541097844638569,0.0567931475820158,100001.0,200111.0,0.292,0.1468,6307.62,1.3761989,1.26373,1.4329286,17512684-3506140,9.984,9.739,9.67,2.7119553553468514e-05
4040713139214688384,267.8579370119092,-35.03441402714093,355.4010607205459,-4.194243666066724,9.037823,0.18020153,3.6504131659774575,0.0671477883633054,100001.0,,0.289,0.1575,8333.5,,,,17512590-3502038,8.785,8.725,8.669,2.5996968073348097e-05
4040721419858222592,268.6639056940743,-35.39484878212019,355.4212411586531,-4.944637777913156,15.041104,1.7420378,3.5234683351245764,0.0385909707701264,100002.0,200111.0,0.189,0.101,4084.0,0.6040547,0.5386761,0.6465247,17543933-3523414,12.954,12.255,12.082,2.9622909662698664e-05
4040721552962288768,268.61510693858565,-35.40699193585437,355.3907177280035,-4.916267904270738,17.053867,2.0402956,3.497470003633278,0.090678569182673,102001.0,,,,4376.3,,,,17542762-3524250,14.23,13.577,13.356,2.8217323034178018e-05
4040721930910461824,268.5625482905083,-35.417974799605666,355.359653826994,-4.884683589501618,12.819163,1.0812263,3.6185530858925863,0.0546966699476782,100001.0,200111.0,0.276,0.134,5057.0435,0.88588035,0.83081245,1.0216854,17541500-3525046,11.446,11.036,10.95,2.677666876843302e-05
4040727776413114752,268.73430977436544,-35.35313850980609,355.48630087414995,-4.973519494795646,14.445165,1.5725975,3.633826815389293,0.040115488010324,100001.0,200111.0,0.309,0.149,4364.0146,0.6257557,0.54210514,0.6831154,17545623-3521111,12.546,11.956,11.771,2.9662510453321107e-05
4040728150024024832,268.7014464720586,-35.302538877882014,355.5168509573901,-4.925013499608832,12.359279,0.9481306,3.5952431657900217,0.0493709512074155,100002.0,200111.0,0.1148,0.0587,5387.5,0.9457797,0.86009127,0.9692032,17544834-3518090,11.177,10.794,10.735,2.8979042680310564e-05
4040728601047703680,268.6120872454978,-35.33377252306724,355.4531051238609,-4.87749523265208,10.051961,0.6606083,3.564830071693976,0.0513489951098851,100001.0,200111.0,1.3055,0.6102,6327.8,1.9475772,1.7751504,2.0294588,17542690-3520014,9.222,8.983,8.944,2.9523149290298736e-05
