index,Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,r50,nbstars07,pmRA*,e_pmRA*,pmDE,e_pmDE,plx,e_plx,Flag,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc,SimbadName,_RA.icrs,_DE.icrs
1336,UBC_119          ,290.628,8.41,43.96,-2.999,0.089,78,-1.349,0.148,-2.355,0.129,0.561,0.027,,9.41,0.87,11.1,1659.0,1192.0,1150.0,-86.0,7239.0,                               ,290.628,8.41
1337,UBC_12           ,126.027,-8.405,-128.384,16.244,0.463,19,-8.301,0.138,4.131,0.187,2.219,0.054,,8.37,0.23,8.32,461.0,-275.0,-347.0,129.0,8622.0,                               ,126.027,-8.405
1338,UBC_120          ,284.108,13.242,45.305,4.928,0.087,28,1.13,0.091,1.438,0.076,0.838,0.024,,8.27,0.91,10.3,1148.0,804.0,813.0,98.0,7579.0,                               ,284.108,13.242
1339,UBC_121          ,288.891,12.844,47.096,0.59,0.069,50,-1.238,0.084,-3.355,0.07,0.567,0.039,,8.21,2.19,11.03,1607.0,1094.0,1177.0,16.0,7340.0,                               ,288.891,12.844
1343,UBC_125          ,288.881,22.968,56.088,5.279,0.138,38,-1.135,0.083,-4.054,0.081,0.762,0.027,,8.76,1.38,10.62,1332.0,740.0,1101.0,122.0,7678.0,                               ,288.881,22.968
1345,UBC_129          ,299.05,26.448,63.625,-1.097,0.21,115,-0.967,0.106,-4.337,0.11,0.844,0.024,,7.72,1.11,10.41,1208.0,536.0,1082.0,-23.0,7877.0,                               ,299.05,26.448
1346,UBC_13           ,120.914,3.54,-141.884,17.666,1.1,36,-7.749,0.158,-1.13,0.21,1.609,0.058,,8.26,0.0,9.0,629.0,-472.0,-370.0,191.0,8819.0,                               ,120.914,3.54
1349,UBC_133          ,303.694,28.355,67.446,-3.554,0.105,81,-1.12,0.078,-4.678,0.086,0.583,0.025,,7.93,2.34,11.01,1589.0,608.0,1464.0,-98.0,7869.0,                               ,303.694,28.355
1352,UBC_136          ,304.49,32.582,71.336,-1.77,0.133,87,-0.045,0.072,-3.267,0.094,0.69,0.032,,8.22,1.97,10.68,1365.0,436.0,1293.0,-42.0,8008.0,                               ,304.49,32.582
1355,UBC_14           ,294.746,3.703,41.734,-8.829,1.068,46,0.131,0.21,-2.103,0.216,1.306,0.027,,7.72,0.72,9.38,752.0,554.0,495.0,-115.0,7800.0,                               ,294.746,3.703
1356,UBC_141          ,313.576,35.686,78.353,-5.916,0.087,39,-1.024,0.082,0.362,0.107,0.709,0.022,,9.32,0.51,10.6,1315.0,264.0,1281.0,-135.0,8176.0,                               ,313.576,35.686
1357,UBC_143          ,299.689,45.553,80.292,8.352,0.142,26,-3.183,0.071,-7.858,0.088,0.727,0.018,,8.67,0.44,10.47,1243.0,207.0,1213.0,180.0,8222.0,                               ,299.689,45.553
1362,UBC_150          ,325.52,37.584,86.439,-11.552,0.152,26,-4.16,0.102,-6.715,0.079,1.141,0.049,,8.3,0.37,9.7,871.0,53.0,852.0,-174.0,8330.0,                               ,325.52,37.584
1363,UBC_151          ,311.961,47.432,86.639,2.493,0.17,77,-2.363,0.087,-1.542,0.102,0.565,0.026,,8.26,0.8,11.13,1683.0,98.0,1678.0,73.0,8410.0,                               ,311.961,47.432
1364,UBC_152          ,314.345,47.367,87.654,1.196,0.085,21,-0.548,0.068,-1.77,0.093,0.714,0.017,,8.49,1.51,10.68,1367.0,55.0,1366.0,28.0,8395.0,                               ,314.345,47.367
1367,UBC_155          ,318.413,50.134,91.481,1.06,0.127,63,-2.893,0.113,-4.058,0.099,0.58,0.029,,8.68,2.63,11.01,1593.0,-41.0,1592.0,29.0,8531.0,                               ,318.413,50.134
1369,UBC_157          ,328.682,49.748,96.124,-3.701,0.097,28,2.123,0.09,-0.296,0.072,0.82,0.021,,8.25,0.71,10.31,1151.0,-122.0,1142.0,-74.0,8539.0,                               ,328.682,49.748
1371,UBC_159          ,339.03,39.621,96.44,-16.166,0.183,67,-1.905,0.232,-4.786,0.289,1.988,0.062,,7.16,0.82,8.37,472.0,-50.0,450.0,-131.0,8403.0,                               ,339.03,39.621
1372,UBC_160          ,327.716,51.374,96.659,-2.043,0.061,57,-2.488,0.078,-3.254,0.106,0.497,0.025,,8.22,1.28,11.41,1913.0,-221.0,1899.0,-68.0,8769.0,                               ,327.716,51.374
1374,UBC_163          ,330.873,55.643,100.774,0.189,0.096,34,-1.958,0.085,-3.22,0.106,0.609,0.021,,8.79,1.29,10.92,1527.0,-285.0,1501.0,5.0,8755.0,                               ,330.873,55.643
1376,UBC_167          ,324.786,62.332,102.559,7.355,0.123,39,-2.078,0.094,-3.022,0.111,1.065,0.028,,7.34,1.08,9.85,931.0,-200.0,901.0,119.0,8588.0,                               ,324.786,62.332
1377,UBC_168          ,332.43,57.549,102.564,1.207,0.153,27,1.796,0.086,1.633,0.061,1.069,0.013,,7.86,1.13,9.84,928.0,-201.0,906.0,19.0,8589.0,                               ,332.43,57.549
1378,UBC_169          ,342.627,49.494,103.592,-8.793,0.056,31,-4.009,0.091,-3.378,0.117,0.704,0.034,,8.47,0.26,10.65,1347.0,-312.0,1293.0,-205.0,8749.0,                               ,342.627,49.494
1382,UBC_175          ,344.451,54.401,106.784,-4.873,0.153,59,1.432,0.074,-0.726,0.108,0.721,0.028,,8.67,0.88,10.63,1334.0,-383.0,1273.0,-113.0,8816.0,                               ,344.451,54.401
1384,UBC_177          ,339.659,67.044,110.485,7.447,0.143,43,-1.973,0.118,-0.973,0.094,0.855,0.028,,7.44,1.99,10.3,1149.0,-398.0,1067.0,148.0,8803.0,                               ,339.659,67.044
1385,UBC_178          ,346.201,63.36,111.303,2.92,0.16,58,-1.235,0.224,-1.823,0.139,1.148,0.027,,7.01,1.58,9.88,947.0,-343.0,881.0,48.0,8728.0,                               ,346.201,63.36
1386,UBC_179          ,350.98,59.522,112.033,-1.495,0.136,55,-2.851,0.091,-3.014,0.085,0.814,0.026,,8.31,1.39,10.36,1182.0,-443.0,1095.0,-30.0,8851.0,                               ,350.98,59.522
1387,UBC_17a          ,83.422,-1.671,-154.665,-18.019,1.356,180,1.582,0.322,-1.2,0.275,2.753,0.044,,7.27,0.8,7.73,352.0,-302.0,-143.0,-108.0,8643.0,                               ,83.422,-1.671
1388,UBC_17b          ,83.195,-1.585,-154.858,-18.179,0.534,103,0.078,0.143,-0.163,0.269,2.376,0.045,,7.06,0.05,8.05,408.0,-350.0,-164.0,-127.0,8692.0,                               ,83.195,-1.585
1390,UBC_181          ,0.584,63.562,117.486,1.216,0.11,31,-2.602,0.1,-1.344,0.091,0.858,0.026,,8.83,1.08,10.25,1123.0,-518.0,996.0,23.0,8914.0,                               ,0.584,63.562
1391,UBC_182          ,4.18,52.298,117.56,-10.201,0.14,24,-2.96,0.099,-1.769,0.086,0.64,0.028,,7.13,0.2,10.93,1533.0,-698.0,1337.0,-271.0,9136.0,                               ,4.18,52.298
1392,UBC_183          ,5.005,55.714,118.491,-6.881,0.099,28,0.661,0.066,-2.507,0.068,0.934,0.019,,7.82,0.37,10.1,1046.0,-495.0,912.0,-125.0,8882.0,                               ,5.005,55.714
1393,UBC_184          ,5.76,59.451,119.324,-3.222,0.064,53,-3.353,0.076,-1.868,0.084,0.562,0.041,,8.91,1.37,11.15,1697.0,-829.0,1477.0,-95.0,9288.0,                               ,5.76,59.451
1396,UBC_187          ,37.868,72.346,130.407,10.972,0.214,42,-1.664,0.131,-1.747,0.213,1.076,0.028,,7.25,1.0,9.67,859.0,-546.0,642.0,163.0,8909.0,                               ,37.868,72.346
1398,UBC_19           ,56.336,29.827,162.215,-19.48,0.254,34,2.705,0.391,-5.17,0.16,2.385,0.082,,6.84,0.7,8.1,416.0,-373.0,119.0,-138.0,8714.0,                               ,56.336,29.827
1402,UBC_194          ,37.686,48.305,139.485,-11.345,0.101,68,0.52,0.154,-2.875,0.12,0.713,0.054,,8.36,0.48,10.67,1361.0,-1014.0,866.0,-267.0,9394.0,                               ,37.686,48.305
1404,UBC_198          ,82.109,35.736,172.316,0.602,0.121,54,0.016,0.065,-1.935,0.084,0.524,0.035,,8.44,0.66,11.21,1744.0,-1728.0,233.0,18.0,10071.0,                               ,82.109,35.736
1405,UBC_199          ,67.449,25.422,172.8,-15.669,0.135,55,3.007,0.166,-1.769,0.123,0.816,0.067,,9.06,0.93,10.46,1233.0,-1178.0,148.0,-333.0,9519.0,                               ,67.449,25.422
1406,UBC_2            ,5.584,46.532,117.731,-16.046,0.547,23,-6.374,0.091,-5.022,0.081,1.754,0.046,,8.3,0.18,8.72,555.0,-248.0,472.0,-153.0,8601.0,                               ,5.584,46.532
1408,UBC_201          ,93.356,15.938,-165.548,-0.932,0.084,51,-0.459,0.096,-0.993,0.099,0.544,0.041,,7.98,1.11,11.16,1703.0,-1649.0,-425.0,-27.0,9998.0,                               ,93.356,15.938
1411,UBC_206          ,93.351,1.431,-152.731,-7.792,0.096,27,-0.405,0.078,-1.582,0.102,0.517,0.048,,8.27,1.08,11.29,1807.0,-1591.0,-820.0,-245.0,9965.0,                               ,93.351,1.431
1412,UBC_207          ,83.848,-4.486,-151.813,-18.95,0.232,55,1.086,0.199,0.555,0.474,2.544,0.07,,7.18,0.88,7.89,378.0,-315.0,-169.0,-122.0,8657.0,                               ,83.848,-4.486
1413,UBC_21           ,130.455,-20.747,-115.321,12.944,1.083,47,-6.5,0.224,2.464,0.177,1.118,0.026,,8.48,0.1,9.82,919.0,-383.0,-810.0,205.0,8760.0,                               ,130.455,-20.747
1417,UBC_215          ,100.461,-5.243,-143.472,-4.506,0.132,51,-0.122,0.088,-3.099,0.128,0.683,0.026,,8.61,1.11,10.76,1419.0,-1137.0,-842.0,-111.0,9514.0,                               ,100.461,-5.243
1418,UBC_216          ,100.431,-5.789,-143.025,-4.799,0.124,57,-0.084,0.103,-0.904,0.114,0.825,0.05,,7.79,0.76,10.41,1209.0,-962.0,-724.0,-101.0,9330.0,                               ,100.431,-5.789
1428,UBC_230          ,114.521,-25.378,-119.358,-1.889,0.094,58,-2.65,0.063,3.201,0.078,0.485,0.035,,7.87,0.68,11.39,1894.0,-928.0,-1650.0,-62.0,9414.0,                               ,114.521,-25.378
1432,UBC_235          ,117.326,-29.349,-114.66900000000001,-1.719,0.09,31,-4.254,0.072,2.774,0.094,0.557,0.025,,8.04,0.72,11.15,1701.0,-709.0,-1545.0,-51.0,9180.0,                               ,117.326,-29.349
1434,UBC_237          ,118.572,-29.718,-113.81,-0.958,0.098,45,-2.428,0.069,2.097,0.063,0.541,0.025,,7.82,0.9,11.26,1789.0,-722.0,-1636.0,-29.0,9208.0,                               ,118.572,-29.718
1442,UBC_247          ,126.678,-50.729,-92.78500000000003,-7.186,0.11,55,-5.083,0.118,6.093,0.104,0.854,0.036,,7.76,0.98,10.31,1152.0,-55.0,-1142.0,-144.0,8472.0,                               ,126.678,-50.729
1443,UBC_249          ,136.943,-52.945,-87.08300000000003,-3.633,0.154,65,-6.083,0.071,4.249,0.087,0.498,0.03,,8.5,0.48,11.44,1938.0,98.0,-1932.0,-122.0,8465.0,                               ,136.943,-52.945
1444,UBC_250          ,118.12,-60.373,-86.858,-16.294,0.113,25,-3.502,0.174,10.888,0.13,1.016,0.032,,8.52,0.31,9.92,962.0,50.0,-922.0,-269.0,8340.0,                               ,118.12,-60.373
1445,UBC_251          ,140.447,-51.252,-86.80700000000002,-0.926,0.091,44,-4.997,0.075,4.436,0.08,0.484,0.028,,7.97,1.27,11.35,1865.0,103.0,-1862.0,-30.0,8443.0,                               ,140.447,-51.252
1447,UBC_253          ,139.532,-56.015,-83.79500000000002,-4.648,0.058,38,-6.079,0.047,5.305,0.07,0.576,0.028,,8.35,0.83,10.98,1573.0,169.0,-1559.0,-127.0,8317.0,                               ,139.532,-56.015
1448,UBC_254          ,143.659,-54.375,-83.255,-1.836,0.091,66,-5.63,0.104,4.964,0.064,0.525,0.021,,8.04,0.67,11.25,1781.0,209.0,-1768.0,-57.0,8320.0,                               ,143.659,-54.375
1449,UBC_255          ,128.456,-61.463,-83.24200000000002,-12.514,0.12,49,-4.882,0.088,2.831,0.108,1.049,0.036,,9.38,0.0,9.75,890.0,102.0,-863.0,-192.0,8282.0,                               ,128.456,-61.463
1452,UBC_26           ,285.37,22.02,53.753,7.748,0.717,64,2.049,0.164,-5.176,0.205,1.661,0.033,,7.55,0.76,8.83,582.0,341.0,465.0,78.0,8012.0,                               ,285.37,22.02
1453,UBC_260          ,140.148,-69.885,-73.45800000000003,-14.013,0.2,20,-7.755,0.137,8.005,0.268,1.78,0.043,,8.37,0.0,8.79,572.0,158.0,-532.0,-138.0,8199.0,                               ,140.1481,-69.885
1461,UBC_269          ,166.769,-62.87,-68.649,-2.367,0.067,30,-7.014,0.052,1.647,0.044,0.522,0.021,,8.01,1.14,11.31,1828.0,665.0,-1701.0,-75.0,7861.0,                               ,166.7691,-62.87
1462,UBC_27           ,294.337,15.589,52.016,-2.753,0.156,65,-0.827,0.09,-6.226,0.088,0.882,0.039,,8.77,1.47,10.28,1137.0,699.0,895.0,-54.0,7692.0,                               ,294.337,15.589
1468,UBC_277          ,174.042,-59.46,-66.495,2.019,0.093,58,-6.503,0.07,1.618,0.08,0.53,0.017,,8.01,1.05,11.32,1834.0,731.0,-1681.0,64.0,7792.0,                               ,174.0421,-59.46
1469,UBC_279          ,173.443,-66.087,-64.82999999999998,-4.397,0.104,51,-7.296,0.059,2.034,0.096,0.621,0.022,,8.47,0.77,11.04,1614.0,684.0,-1456.0,-123.0,7792.0,                               ,173.4431,-66.087
1473,UBC_283          ,179.651,-68.683,-61.86700000000002,-6.3,0.052,26,-8.965,0.067,-0.793,0.045,0.693,0.017,,8.5,0.48,10.68,1366.0,640.0,-1198.0,-149.0,7792.0,                               ,179.6511,-68.683
1474,UBC_284          ,184.283,-62.952,-60.954999999999984,-0.345,0.074,170,-7.19,0.087,-1.335,0.09,0.504,0.03,,9.2,0.94,11.35,1865.0,905.0,-1631.0,-11.0,7611.0,                               ,184.2831,-62.952
1475,UBC_285          ,184.671,-65.42,-60.471000000000004,-2.762,0.105,67,-6.242,0.068,-0.711,0.076,0.568,0.028,,7.79,0.45,11.08,1647.0,811.0,-1431.0,-79.0,7663.0,                               ,184.6711,-65.42
1479,UBC_290          ,191.949,-59.381,-57.533000000000015,3.488,0.151,118,-5.892,0.083,-0.293,0.071,0.595,0.037,,8.28,0.62,11.03,1605.0,860.0,-1352.0,97.0,7600.0,                               ,191.949,-59.381
1483,UBC_294          ,204.258,-58.073,-51.05500000000001,4.267,0.072,52,-8.558,0.072,-2.312,0.084,0.617,0.024,,8.9,0.98,11.0,1586.0,994.0,-1230.0,118.0,7447.0,                               ,204.2581,-58.073
1484,UBC_295          ,207.554,-60.399,-49.867999999999995,1.65,0.082,55,-4.487,0.058,-1.54,0.086,0.578,0.03,,8.7,0.95,11.18,1717.0,1106.0,-1312.0,49.0,7351.0,                               ,207.554,-60.399
1489,UBC_3            ,283.799,12.326,44.351,4.766,0.129,29,-0.576,0.039,-1.331,0.056,0.554,0.013,,8.1,0.98,11.16,1704.0,1214.0,1187.0,141.0,7223.0,                               ,283.799,12.326
1490,UBC_300          ,222.958,-65.308,-44.92500000000001,-5.323,0.083,70,-3.241,0.058,-2.041,0.085,0.509,0.034,,8.62,1.71,11.37,1883.0,1327.0,-1324.0,-174.0,7136.0,                               ,222.958,-65.308
1491,UBC_301          ,219.49,-58.996,-43.72199999999998,1.087,0.083,32,-5.544,0.058,-2.734,0.113,0.595,0.018,,8.37,1.16,11.16,1704.0,1231.0,-1177.0,32.0,7205.0,                               ,219.49,-58.996
1492,UBC_302          ,220.122,-55.385,-41.93000000000001,4.237,0.095,24,-4.835,0.074,-4.151,0.067,0.838,0.02,,8.76,0.92,10.38,1192.0,884.0,-794.0,88.0,7497.0,                               ,220.122,-55.385
1493,UBC_303          ,221.85,-56.255,-41.42399999999998,3.047,0.08,77,-4.856,0.122,-3.864,0.093,0.537,0.046,,8.85,1.39,11.19,1726.0,1293.0,-1140.0,91.0,7138.0,                               ,221.85,-56.255
1495,UBC_31           ,61.146,32.532,163.527,-14.719,1.612,84,3.803,0.192,-5.468,0.219,2.723,0.057,,7.42,0.18,7.67,341.0,-317.0,93.0,-86.0,8657.0,                               ,61.146,32.532
1499,UBC_314          ,243.386,-50.128,-27.404999999999973,0.719,0.104,102,-1.897,0.145,-5.401,0.119,0.597,0.038,,9.49,1.79,11.08,1646.0,1461.0,-757.0,20.0,6919.0,                               ,243.386,-50.128
1501,UBC_316          ,248.751,-47.992,-23.416999999999973,-0.26,0.065,35,-3.032,0.063,-3.153,0.09,0.581,0.022,,8.73,2.2,11.15,1697.0,1557.0,-674.0,-7.0,6815.0,                               ,248.751,-47.992
1504,UBC_319          ,249.699,-44.755,-20.601999999999975,1.405,0.129,75,-0.759,0.089,-2.722,0.131,0.719,0.029,,8.2,1.4,10.62,1329.0,1244.0,-467.0,32.0,7110.0,                               ,249.699,-44.755
1505,UBC_32           ,279.312,-14.096,18.779,-3.305,0.924,60,-1.768,0.282,-9.279,0.335,3.563,0.049,,8.14,0.55,7.24,280.0,265.0,90.0,-16.0,8075.0,                               ,279.312,-14.096
1509,UBC_323          ,253.94,-40.729,-15.52600000000001,1.644,0.221,267,-0.232,0.177,-1.28,0.235,0.575,0.046,,6.95,0.72,10.88,1496.0,1441.0,-400.0,42.0,6909.0,                               ,253.94,-40.729
1510,UBC_324          ,255.954,-38.465,-12.759999999999991,1.826,0.075,129,-3.28,0.122,-3.781,0.096,0.501,0.036,,8.9,1.83,11.3,1815.0,1770.0,-400.0,57.0,6582.0,                               ,255.954,-38.465
1511,UBC_326          ,258.155,-36.056,-9.778999999999996,1.857,0.067,69,-1.113,0.124,-2.806,0.091,0.569,0.04,,8.42,2.3,10.97,1566.0,1542.0,-265.0,50.0,6802.0,                               ,258.155,-36.056
1512,UBC_33           ,7.36,60.498,120.225,-2.258,0.113,43,-0.928,0.062,-0.443,0.059,0.627,0.029,,8.14,1.54,11.0,1586.0,-797.0,1369.0,-62.0,9240.0,                               ,7.36,60.498
1513,UBC_334          ,265.57,-30.731,-1.9180000000000064,-0.326,0.104,228,-0.731,0.15,-1.287,0.144,0.613,0.032,,7.3,3.06,11.15,1695.0,1694.0,-56.0,-9.0,6645.0,                               ,265.57,-30.731
1515,UBC_337          ,271.722,-24.649,6.076,-1.937,0.077,40,0.482,0.086,-0.711,0.068,0.566,0.024,,7.62,2.49,11.1,1659.0,1648.0,175.0,-56.0,6693.0,                               ,271.722,-24.649
1516,UBC_338          ,271.535,-24.233,6.357,-1.594,0.08,38,0.02,0.09,-1.765,0.103,0.601,0.027,,8.37,2.14,11.02,1600.0,1590.0,177.0,-44.0,6752.0,                               ,271.535,-24.233
1518,UBC_340          ,270.774,-22.649,7.398,-0.236,0.081,27,0.723,0.096,-2.553,0.106,0.702,0.017,,8.63,1.79,10.71,1383.0,1372.0,178.0,-5.0,6970.0,                               ,270.774,-22.649
1520,UBC_342          ,273.914,-14.925,15.624,0.932,0.204,66,-0.171,0.103,-1.043,0.137,0.605,0.032,,7.15,1.56,11.0,1585.0,1526.0,426.0,25.0,6827.0,                               ,273.914,-14.925
1522,UBC_344          ,274.475,-12.083,18.354,1.82,0.161,314,-0.331,0.215,-2.168,0.24,0.466,0.043,,6.54,3.02,11.42,1919.0,1821.0,604.0,60.0,6546.0,                               ,274.475,-12.083
1524,UBC_346          ,276.039,-10.623,20.352,1.136,0.093,31,2.888,0.085,-1.074,0.106,0.621,0.032,,9.02,1.66,10.94,1543.0,1446.0,536.0,30.0,6914.0,                               ,276.039,-10.623
1525,UBC_347          ,276.722,-10.968,20.392,0.388,0.062,20,-1.404,0.096,-4.909,0.116,0.721,0.016,,8.93,2.3,10.8,1443.0,1352.0,502.0,9.0,7005.0,                               ,276.722,-10.968
1527,UBC_350          ,284.36,-8.936,25.627,-5.408,0.076,26,0.788,0.112,0.642,0.064,0.559,0.021,,8.37,0.99,10.98,1566.0,1406.0,674.0,-147.0,6966.0,                               ,284.36,-8.936
1530,UBC_354          ,282.378,-4.386,28.789,-1.568,0.095,22,1.246,0.055,0.129,0.065,0.54,0.016,,8.3,2.38,11.36,1869.0,1637.0,899.0,-51.0,6762.0,                               ,282.378,-4.386
1531,UBC_355          ,281.923,-3.817,29.111,-0.913,0.041,42,-0.692,0.078,-1.899,0.111,0.451,0.021,,7.39,2.45,11.33,1843.0,1610.0,896.0,-29.0,6788.0,                               ,281.923,-3.817
1532,UBC_356          ,288.853,-4.203,31.898,-7.22,0.122,30,-0.65,0.132,-4.938,0.136,0.921,0.041,,8.01,1.35,10.06,1026.0,864.0,538.0,-129.0,7494.0,                               ,288.853,-4.203
1537,UBC_361          ,290.003,15.159,49.649,0.701,0.068,42,-1.712,0.076,-5.245,0.081,0.631,0.035,,7.56,1.75,10.84,1474.0,954.0,1123.0,18.0,7470.0,                               ,290.003,15.159
1539,UBC_364          ,306.276,29.74,69.853,-4.636,0.074,36,-2.093,0.07,-6.526,0.09,0.55,0.026,,8.51,1.66,11.4,1902.0,653.0,1780.0,-153.0,7890.0,                               ,306.276,29.74
1541,UBC_366          ,299.841,37.204,73.145,3.924,0.078,22,-1.204,0.089,-2.233,0.079,0.529,0.015,,8.58,0.83,11.27,1797.0,520.0,1716.0,123.0,8006.0,                               ,299.841,37.204
1545,UBC_371          ,305.886,36.099,74.841,-0.74,0.207,60,-2.39,0.092,-4.336,0.154,0.524,0.026,,7.61,2.35,11.22,1754.0,458.0,1693.0,-22.0,8061.0,                               ,305.886,36.099
1547,UBC_373          ,306.874,37.665,76.615,-0.46,0.064,20,-0.627,0.108,-3.624,0.091,0.788,0.012,,7.81,2.88,10.4,1201.0,278.0,1169.0,-9.0,8146.0,                               ,306.874,37.665
1548,UBC_374          ,305.698,38.939,77.136,1.044,0.112,44,-0.715,0.073,-3.022,0.086,0.617,0.02,,9.11,2.13,11.07,1637.0,364.0,1595.0,29.0,8133.0,                               ,305.698,38.939
1549,UBC_375          ,304.574,40.063,77.595,2.378,0.131,32,-3.422,0.074,-5.224,0.109,0.558,0.014,,8.03,2.56,11.08,1646.0,353.0,1606.0,68.0,8146.0,                               ,304.574,40.063
1552,UBC_378          ,311.56,48.828,87.567,3.563,0.136,29,-2.667,0.084,-3.936,0.08,0.652,0.022,,8.43,1.65,10.85,1480.0,62.0,1476.0,92.0,8407.0,                               ,311.56,48.828
1554,UBC_380          ,317.71,47.705,89.409,-0.267,0.053,18,-1.003,0.051,-1.742,0.063,0.437,0.014,,7.9,0.92,11.45,1949.0,20.0,1949.0,-9.0,8545.0,                               ,317.71,47.705
1557,UBC_383          ,330.72,49.114,96.746,-4.999,0.115,37,-2.04,0.108,-1.711,0.094,0.541,0.024,,8.09,0.52,11.3,1820.0,-213.0,1800.0,-158.0,8740.0,                               ,330.72,49.114
1559,UBC_385          ,317.94,60.092,98.589,8.033,0.102,26,-2.53,0.068,-3.468,0.094,1.178,0.042,,7.29,1.2,9.71,876.0,-129.0,858.0,122.0,8512.0,                               ,317.94,60.092
1560,UBC_386          ,319.784,61.952,100.554,8.723,0.113,28,-3.461,0.132,-3.411,0.221,0.809,0.028,,6.81,0.96,10.41,1206.0,-218.0,1172.0,182.0,8638.0,                               ,319.784,61.952
1561,UBC_387          ,326.098,58.756,100.674,4.226,0.094,31,-2.206,0.044,-4.772,0.062,0.61,0.025,,8.63,1.31,10.91,1519.0,-280.0,1488.0,111.0,8748.0,                               ,326.098,58.756
1567,UBC_392          ,336.125,64.926,108.154,6.355,0.073,33,-0.642,0.109,-3.287,0.112,1.056,0.032,,7.85,1.47,9.92,965.0,-298.0,911.0,106.0,8686.0,                               ,336.125,64.926
1569,UBC_394          ,343.738,59.247,108.518,-0.321,0.087,31,2.152,0.092,0.068,0.07,1.092,0.023,,8.2,1.85,9.91,958.0,-304.0,908.0,-5.0,8692.0,                               ,343.738,59.247
1571,UBC_396          ,337.301,66.526,109.422,7.446,0.124,20,-2.281,0.074,-2.792,0.077,0.943,0.03,,8.27,1.85,10.05,1021.0,-336.0,955.0,132.0,8729.0,                               ,337.301,66.526
1575,UBC_4            ,61.002,35.347,161.457,-12.744,1.02,44,-0.759,0.135,-5.696,0.132,1.649,0.052,,8.72,0.54,8.91,604.0,-558.0,187.0,-133.0,8900.0,                               ,61.002,35.347
1589,UBC_415          ,42.54,72.914,131.489,12.034,0.12,17,-1.301,0.091,-1.626,0.175,1.096,0.043,,7.37,1.06,9.59,829.0,-537.0,607.0,172.0,8898.0,                               ,42.54,72.914
1611,UBC_437          ,89.533,22.036,-172.648,-1.103,0.113,32,0.146,0.064,-1.912,0.11,0.493,0.041,,7.96,1.22,11.48,1978.0,-1961.0,-253.0,-38.0,10304.0,                               ,89.533,22.036
1616,UBC_441          ,99.998,-3.613,-145.15,-4.189,0.075,34,0.123,0.079,-0.443,0.072,0.471,0.04,,8.24,0.84,11.5,1991.0,-1629.0,-1134.0,-145.0,10034.0,                               ,99.998,-3.613
1619,UBC_444          ,105.311,-6.837,-139.861,-0.953,0.098,26,-1.506,0.09,-2.49,0.081,0.915,0.022,,8.69,0.3,10.18,1084.0,-829.0,-699.0,-18.0,9195.0,                               ,105.311,-6.837
1625,UBC_451          ,100.71,-23.7,-126.57900000000001,-12.353,0.085,14,-1.158,0.074,-0.03,0.062,0.517,0.012,,7.79,0.07,11.37,1882.0,-1095.0,-1476.0,-402.0,9550.0,                               ,100.71,-23.7
1645,UBC_47           ,41.996,63.789,135.378,3.77,0.051,24,1.192,0.064,-1.103,0.119,0.647,0.03,,8.39,2.24,10.9,1514.0,-1075.0,1061.0,99.0,9475.0,                               ,41.996,63.789
1648,UBC_472          ,120.76,-35.07,-108.279,-2.185,0.05,32,-1.204,0.088,1.334,0.083,0.485,0.024,,9.33,1.58,11.48,1977.0,-619.0,-1876.0,-75.0,9154.0,                               ,120.76,-35.07
1654,UBC_479          ,124.338,-42.582,-100.44400000000002,-3.928,0.117,33,-4.814,0.071,5.119,0.05,0.648,0.024,,7.31,0.7,10.84,1473.0,-266.0,-1446.0,-100.0,8727.0,                               ,124.338,-42.582
1655,UBC_480          ,119.954,-50.636,-95.13600000000002,-10.761,0.094,13,-5.373,0.119,5.67,0.062,2.077,0.02,,8.32,0.08,8.41,481.0,-42.0,-471.0,-89.0,8395.0,                               ,119.954,-50.636
1658,UBC_486          ,139.738,-50.555,-87.608,-0.748,0.086,33,-8.19,0.094,6.933,0.075,0.659,0.017,,7.82,0.87,10.86,1483.0,61.0,-1481.0,-19.0,8409.0,                               ,139.7381,-50.555
1659,UBC_487          ,139.691,-51.6,-86.899,-1.469,0.062,36,-5.812,0.068,4.14,0.079,0.499,0.032,,7.42,1.39,11.31,1826.0,98.0,-1822.0,-46.0,8440.0,                               ,139.691,-51.6
1666,UBC_493          ,141.18,-57.341,-82.207,-4.939,0.123,25,-7.442,0.089,5.693,0.082,0.565,0.009,,8.96,0.55,11.24,1772.0,239.0,-1749.0,-152.0,8287.0,                               ,141.1801,-57.341
1669,UBC_496          ,159.693,-54.247,-75.74099999999999,3.779,0.114,21,-7.889,0.051,1.45,0.074,0.571,0.025,,7.88,0.37,11.09,1651.0,405.0,-1596.0,108.0,8093.0,                               ,159.6931,-54.247
1673,UBC_5            ,238.548,-47.74,-28.201000000000022,4.625,0.382,29,-6.695,0.112,-4.225,0.09,1.785,0.013,,8.3,0.26,8.71,551.0,484.0,-259.0,44.0,7859.0,                               ,238.548,-47.74
1675,UBC_502          ,159.583,-59.54,-73.22899999999998,-0.918,0.069,28,-5.712,0.065,2.068,0.049,0.541,0.015,,8.6,0.51,11.24,1767.0,509.0,-1692.0,-28.0,8010.0,                               ,159.583,-59.54
