index,Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,r50,nbstars07,pmRA*,e_pmRA*,pmDE,e_pmDE,plx,e_plx,Flag,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc,SimbadName,_RA.icrs,_DE.icrs
1057,NGC_752          ,29.223,37.794,136.959,-23.289,0.485,223,9.81,0.272,-11.713,0.266,2.239,0.071,,9.07,0.07,8.42,483.0,-324.0,303.0,-191.0,8669.0,NGC 752                        ,29.2229,37.7941
1058,NGC_7654         ,351.195,61.59,112.815,0.432,0.133,962,-1.938,0.147,-1.131,0.154,0.596,0.046,,8.19,1.85,11.09,1653.0,-641.0,1524.0,12.0,9109.0,NGC 7654                       ,351.195,61.59
1059,NGC_7762         ,357.472,68.035,117.206,5.85,0.17,419,1.452,0.165,4.016,0.168,1.002,0.036,,9.31,1.91,9.77,897.0,-408.0,794.0,91.0,8784.0,NGC 7762                       ,357.472,68.035
1065,NGC_886          ,35.898,63.8,132.893,2.725,0.34,153,3.186,0.099,-3.97,0.111,0.954,0.037,,8.91,0.78,10.05,1021.0,-694.0,747.0,48.0,9065.0,NGC 886                        ,35.898,63.8
1086,Pismis_27        ,92.719,20.617,-169.933,0.797,0.051,35,-0.14,0.256,-1.994,0.166,0.504,0.051,,6.73,1.5,11.38,1883.0,-1854.0,-329.0,26.0,10200.0,Cl Pismis 27                   ,92.719,20.617
1088,Pismis_4         ,128.79,-44.407,-97.084,-2.353,0.291,98,-8.236,0.166,5.337,0.145,1.414,0.04,,8.08,0.18,9.21,695.0,-85.0,-689.0,-28.0,8453.0,Cl Pismis 4                    ,128.79,-44.407
1089,Pismis_5         ,129.407,-39.603,-100.64499999999998,0.905,0.124,80,-5.494,0.224,4.275,0.163,1.026,0.067,,7.0,1.48,9.87,941.0,-173.0,-925.0,14.0,8564.0,Cl Pismis 5                    ,129.407,-39.603
1091,Pismis_8         ,130.407,-46.272,-94.911,-2.578,0.034,44,-5.757,0.128,4.945,0.098,0.517,0.049,,7.51,1.58,11.4,1903.0,-162.0,-1894.0,-85.0,8711.0,Cl Pismis 8                    ,130.407,-46.272
1092,Pismis_Moreno_1  ,334.695,63.251,106.713,5.293,0.075,62,-2.301,0.335,-2.251,0.3,1.051,0.079,,6.95,2.06,9.96,981.0,-281.0,936.0,90.0,8671.0,Name Cl Pismis-Moreno 1        ,334.695,63.251
1093,Platais_10       ,205.22,-59.271,-50.77999999999997,2.996,0.485,20,-30.591,0.475,-10.215,0.419,4.158,0.099,,8.04,0.22,6.91,240.0,152.0,-186.0,12.0,8190.0,Cl Platais 10                  ,205.2203,-59.271
1094,Platais_3        ,69.976,71.28,139.221,16.068,1.723,81,3.616,1.275,-20.931,0.626,5.62,0.165,,8.25,0.0,6.25,177.0,-129.0,111.0,49.0,8470.0,Cl Platais 3                   ,69.976,71.2801
